Time,ETH total supply,Price
2017-02-20,8.906033924948E7,12.86492729
2017-02-21,8.909173831198E7,12.48175907
2017-02-22,8.912293565573E7,12.70765495
2017-02-23,8.915399221823E7,12.77905083
2017-02-24,8.918558690573E7,13.0295639
2017-02-25,8.921696456198E7,13.61951256
2017-02-26,8.924841659323E7,13.46938324
2017-02-27,8.927983909323E7,14.63193226
2017-02-28,8.931149956198E7,15.80909538
2017-03-01,8.934282893698E7,15.73847675
2017-03-02,8.937426456198E7,18.7517395
2017-03-03,8.940583128073E7,18.50421143
2017-03-04,8.943710518698E7,19.98473167
2017-03-05,8.946869956198E7,18.85466194
2017-03-06,8.949998346823E7,19.22690392
2017-03-07,8.953066487448E7,19.42888832
2017-03-08,8.956222924948E7,18.37753296
2017-03-09,8.959282581198E7,17.54300308
2017-03-10,8.962405706198E7,18.28123283
2017-03-11,8.965508846823E7,19.06263924
2017-03-12,8.968628518698E7,21.85354805
2017-03-13,8.971765721823E7,25.04587555
2017-03-14,8.974883081198E7,28.24926949
2017-03-15,8.978026346823E7,30.52957153
2017-03-16,8.981157018698E7,40.88731766
2017-03-17,8.984337846823E7,46.54584885
2017-03-18,8.987507706198E7,36.93608093
2017-03-19,8.990602940573E7,39.4142952
2017-03-20,8.993759018698E7,44.19563293
2017-03-21,8.996866268698E7,44.21334076
2017-03-22,8.999982674948E7,39.89975739
2017-03-23,9.003122143698E7,42.05825806
2017-03-24,9.006198753073E7,47.57904434
2017-03-25,9.009303518698E7,49.47833252
2017-03-26,9.012418971823E7,49.62591171
2017-03-27,9.015513034323E7,50.76028824
2017-03-28,9.018580878073E7,49.85445023
2017-03-29,9.021692143698E7,52.64440155
2017-03-30,9.024786299948E7,53.08503342
2017-03-31,9.027915706198E7,50.63747025
2017-04-01,9.030972331198E7,50.14421844
2017-04-02,9.034088456198E7,49.48337173
2017-04-03,9.037133159323E7,44.73745728
2017-04-04,9.040269815573E7,45.10642242
2017-04-05,9.043367143698E7,45.77088165
2017-04-06,9.046477440573E7,44.74009705
2017-04-07,9.049575799948E7,42.53973389
