Time,ETH average daily block size,Price
2017-06-03,7014.946269810592,220.25239563
2017-06-04,6476.307633294975,232.76301575
2017-06-05,6361.82452390206,246.78031921
2017-06-06,7120.049491655477,256.10177612
2017-06-07,7251.184854811159,260.0604248
2017-06-08,7369.980498165669,257.56234741
2017-06-09,7078.335446685879,273.81515503
2017-06-10,6657.191195919138,311.22879028
2017-06-11,8088.970882964643,341.41125488
2017-06-12,9700.176313785225,348.29885864
2017-06-13,8580.38479130932,398.08557129
2017-06-14,8300.860928396918,376.99716187
2017-06-15,8050.287617260788,355.40454102
2017-06-16,8301.886071158213,350.64282227
2017-06-17,7839.147808167853,366.66964722
2017-06-18,7938.74729981378,376.94723511
2017-06-19,8274.369054333521,372.66906738
2017-06-20,10619.954022988506,377.61639404
2017-06-21,5798.282652648605,337.51074219
2017-06-22,7783.862090290661,338.32897949
2017-06-23,9921.915541221528,341.11270142
2017-06-24,8559.084455324357,342.61224365
2017-06-25,8899.293354943275,320.02047729
2017-06-26,8714.120448179272,309.31256104
2017-06-27,8962.13729053099,271.87319946
2017-06-28,9230.954380298748,305.0274353
2017-06-29,10098.551765409935,326.67578125
2017-06-30,8900.088223552893,305.8001709
2017-07-01,8123.246667992838,282.76315308
2017-07-02,8245.831469491857,272.48422241
2017-07-03,9907.895674809772,288.73574829
2017-07-04,9905.512219156484,284.26412964
2017-07-05,9927.059478814403,273.55728149
2017-07-06,9586.420461265523,270.89187622
2017-07-07,9383.750250350491,267.5269165
2017-07-08,8697.889931573802,244.48466492
2017-07-09,8316.988179669032,244.90852356
2017-07-10,8756.838662486938,220.69154358
2017-07-11,11173.477635075287,197.28175354
2017-07-12,9933.942556995977,195.09162903
2017-07-13,11093.03526062199,229.23893738
2017-07-14,9982.128417749887,192.40531921
2017-07-15,9686.933796396788,177.26097107
2017-07-16,8580.533771929824,152.5894928
2017-07-17,9791.753400222966,165.92953491
2017-07-18,9369.421984265735,185.05493164
2017-07-19,11950.045086452177,227.34802246
2017-07-20,9980.36436806613,215.48780823
2017-07-21,8773.193853427896,226.48606873
2017-07-22,8104.773918741808,222.48902893
2017-07-23,9027.687218045112,229.30355835
2017-07-24,10729.20354175776,225.04364014
2017-07-25,9039.56679389313,207.49874878
2017-07-26,9288.113754325259,202.01931763
2017-07-27,8479.93217800599,204.34919739
2017-07-28,8781.383084577114,203.32189941
