Time,Number of new addresses added per day on ETH,Price
2017-06-05,35596.0,246.78031921
2017-06-06,43992.0,256.10177612
2017-06-07,46795.0,260.0604248
2017-06-08,40091.0,257.56234741
2017-06-09,40053.0,273.81515503
2017-06-10,42786.0,311.22879028
2017-06-11,52840.0,341.41125488
2017-06-12,62106.0,348.29885864
2017-06-13,58193.0,398.08557129
2017-06-14,58035.0,376.99716187
2017-06-15,53514.0,355.40454102
2017-06-16,51402.0,350.64282227
2017-06-17,45493.0,366.66964722
2017-06-18,50326.0,376.94723511
2017-06-19,59739.0,372.66906738
2017-06-20,74488.0,377.61639404
2017-06-21,27404.0,337.51074219
2017-06-22,48291.0,338.32897949
2017-06-23,67435.0,341.11270142
2017-06-24,47727.0,342.61224365
2017-06-25,46090.0,320.02047729
2017-06-26,43070.0,309.31256104
2017-06-27,51567.0,271.87319946
2017-06-28,47429.0,305.0274353
2017-06-29,54395.0,326.67578125
2017-06-30,49037.0,305.8001709
2017-07-01,35953.0,282.76315308
2017-07-02,34840.0,272.48422241
2017-07-03,51286.0,288.73574829
2017-07-04,44177.0,284.26412964
2017-07-05,45348.0,273.55728149
2017-07-06,44982.0,270.89187622
2017-07-07,39235.0,267.5269165
2017-07-08,35038.0,244.48466492
2017-07-09,44606.0,244.90852356
2017-07-10,31015.0,220.69154358
2017-07-11,47552.0,197.28175354
2017-07-12,40337.0,195.09162903
2017-07-13,51672.0,229.23893738
2017-07-14,34364.0,192.40531921
2017-07-15,31885.0,177.26097107
2017-07-16,30815.0,152.5894928
2017-07-17,39328.0,165.92953491
2017-07-18,38587.0,185.05493164
2017-07-19,49224.0,227.34802246
2017-07-20,38996.0,215.48780823
2017-07-21,44248.0,226.48606873
2017-07-22,29999.0,222.48902893
2017-07-23,30704.0,229.30355835
2017-07-24,40079.0,225.04364014
2017-07-25,39220.0,207.49874878
2017-07-26,40036.0,202.01931763
2017-07-27,36236.0,204.34919739
2017-07-28,33547.0,203.32189941
2017-07-29,29188.0,184.85980225
2017-07-30,28432.0,200.7035675
2017-07-31,33642.0,198.70417786
2017-08-01,39867.0,212.01089478
2017-08-02,42991.0,226.93367004
2017-08-03,37739.0,226.17558289
2017-08-04,45740.0,223.84744263
2017-08-05,35718.0,241.99623108
2017-08-06,46113.0,258.18136597
2017-08-07,50068.0,264.40625
2017-08-08,56539.0,271.21444702
2017-08-09,53810.0,318.71627808
2017-08-10,56602.0,305.47634888
2017-08-11,63017.0,298.42956543
2017-08-12,63410.0,312.16744995
2017-08-13,60753.0,301.66647339
2017-08-14,69083.0,302.30514526
2017-08-15,105608.0,285.17263794
2017-08-16,57125.0,290.7510376
2017-08-17,70176.0,304.14562988
2017-08-18,70178.0,300.87255859
2017-08-19,64986.0,292.3447876
2017-08-20,65230.0,294.63638306
2017-08-21,61570.0,301.27523804
2017-08-22,75005.0,309.95062256
2017-08-23,72694.0,319.51849365
2017-08-24,68748.0,318.86367798
2017-08-25,53258.0,334.72201538
2017-08-26,46037.0,330.87490845
2017-08-27,53488.0,334.78726196
2017-08-28,52179.0,343.97930908
2017-08-29,62643.0,349.96069336
2017-08-30,68093.0,376.90368652
2017-08-31,68530.0,380.72720337
2017-09-01,74084.0,389.35375977
2017-09-02,60044.0,378.00906372
2017-09-03,54766.0,352.28427124
2017-09-04,54876.0,286.66098022
2017-09-05,66485.0,276.37460327
2017-09-06,76326.0,324.12860107
2017-09-07,81081.0,324.2862854
2017-09-08,78499.0,299.46481323
2017-09-09,68850.0,292.76257324
2017-09-10,54949.0,285.07400513
2017-09-11,61618.0,299.41687012
2017-09-12,72389.0,301.41531372
2017-09-13,61569.0,269.80636597
2017-09-14,52585.0,239.42408752
2017-09-15,60385.0,252.30776978
2017-09-16,59668.0,240.00071716
2017-09-17,51768.0,243.30102539
2017-09-18,49812.0,287.33227539
2017-09-19,59075.0,287.42733765
2017-09-20,59475.0,288.71542358
