Time,ETH number of daily active addresses,Price
2016-10-17,16712,11.92120838
2016-10-18,20528,12.19547844
2016-10-19,21601,12.49901009
2016-10-20,18849,12.20103645
2016-10-21,26304,12.08692837
2016-10-22,20301,12.12838173
2016-10-23,18541,11.96116257
2016-10-24,18294,11.99033356
2016-10-25,19023,11.26816273
2016-10-26,17903,11.58884907
2016-10-27,19124,11.43562508
2016-10-28,18906,11.53957653
2016-10-29,18871,11.10292244
2016-10-30,16621,10.48897076
2016-10-31,19374,11.17594051
2016-11-01,21000,10.73330975
2016-11-02,19038,10.9131155
2016-11-03,20425,10.79964828
2016-11-04,19485,10.93370247
2016-11-05,15134,11.05909157
2016-11-06,16158,10.87234211
2016-11-07,15069,10.89083767
2016-11-08,18887,10.89247608
2016-11-09,18193,10.42971802
2016-11-10,16886,10.55637455
2016-11-11,16457,10.51397896
2016-11-12,19083,10.181036
2016-11-13,18174,10.19999409
2016-11-14,14172,9.98183823
2016-11-15,18443,10.24454117
2016-11-16,14501,10.28198242
2016-11-17,17151,10.10865688
2016-11-18,15012,9.97877407
2016-11-19,16392,9.57619572
2016-11-20,17659,9.61849403
2016-11-21,15246,9.57175732
2016-11-22,17555,9.94512939
2016-11-23,52175,9.87179089
2016-11-24,13990,9.78180313
2016-11-25,40950,9.27416229
2016-11-26,21310,9.37100124
2016-11-27,16840,9.12840176
2016-11-28,14370,8.95883465
2016-11-29,16640,8.48675156
2016-11-30,15557,8.27385712
2016-12-01,16572,8.39436626
2016-12-02,15048,7.63683796
2016-12-03,22293,7.90301895
2016-12-04,21694,7.90249872
2016-12-05,18432,7.46398783
2016-12-06,18631,6.9359355
2016-12-07,16466,7.57976294
2016-12-08,16535,8.57879162
2016-12-09,16728,8.57343674
2016-12-10,14586,8.30651474
2016-12-11,15683,8.21545887
2016-12-12,15491,8.41560459
2016-12-13,15937,8.44915771
2016-12-14,15816,8.3716526
2016-12-15,17161,7.98988962
2016-12-16,18545,7.83320808
2016-12-17,13477,7.78552341
2016-12-18,15739,7.89772511
2016-12-19,16468,7.74505043
2016-12-20,17547,7.63710451
2016-12-21,16823,7.67782974
2016-12-22,19016,7.61255884
2016-12-23,20288,7.40170383
2016-12-24,16516,7.33150196
2016-12-25,11685,7.31269884
2016-12-26,14923,7.28469181
2016-12-27,14589,7.21640587
2016-12-28,15332,7.3052659
2016-12-29,15524,8.08511066
2016-12-30,16483,8.1172781
2016-12-31,16447,7.97572088
2017-01-01,14245,8.44290161
2017-01-02,14981,8.29045868
2017-01-03,12200,8.42391968
2017-01-04,18819,10.40668869
2017-01-05,18834,10.17251587
2017-01-06,18062,10.12520123
2017-01-07,18020,10.04981232
2017-01-08,16076,10.08623219
2017-01-09,14873,10.32278633
2017-01-10,17227,10.40650654
2017-01-11,16706,9.87361526
2017-01-12,17789,9.5852623
