Time,ETH mining difficulty,Price
2016-07-13,5.924022109923195E13,10.48039627
2016-07-14,6.0567408775922164E13,10.86622524
2016-07-15,5.928838858996271E13,12.07416058
2016-07-16,5.8314257624916555E13,11.75248337
2016-07-17,5.915481200746074E13,11.31585407
2016-07-18,5.920653970042899E13,11.30451298
2016-07-19,6.113564686282639E13,11.15695477
2016-07-20,5.967934614564264E13,11.73404217
2016-07-21,5.809955802644591E13,12.3439846
2016-07-22,6.051497732142643E13,12.62028027
2016-07-23,6.004793739838101E13,14.16064739
2016-07-24,6.171688630840206E13,14.23389816
2016-07-25,5.824456758524927E13,13.25709438
2016-07-26,5.889183876213818E13,13.63521957
2016-07-27,5.133004076202618E13,12.86848545
2016-07-28,5.4634942395208555E13,12.85945034
2016-07-29,5.5562702667374164E13,12.63159943
2016-07-30,5.50225943582509E13,12.69895267
2016-07-31,5.4360803187465336E13,11.60665894
2016-08-01,5.471412535154876E13,11.58598137
2016-08-02,5.2268149342656516E13,10.71458149
2016-08-03,4.9064920885318164E13,9.52481365
2016-08-04,4.9647588085076016E13,10.47972965
2016-08-05,5.3001382830688805E13,11.03745079
2016-08-06,5.359549068519797E13,10.87705135
2016-08-07,5.27540195293432E13,10.91378212
2016-08-08,5.441360565954288E13,10.94816113
2016-08-09,5.594296209673895E13,12.00621319
2016-08-10,5.8410942922723086E13,12.29963112
2016-08-11,5.976582629602627E13,11.8381052
2016-08-12,6.032950832242557E13,11.65481853
2016-08-13,5.9638613123026555E13,11.64356232
2016-08-14,5.9785716345276234E13,11.57867813
2016-08-15,5.941460904648105E13,11.00014877
2016-08-16,6.08819995174184E13,11.14498329
2016-08-17,6.189698684436713E13,10.9684124
2016-08-18,6.0695555319449445E13,10.86975956
2016-08-19,6.265312635846769E13,10.78667927
2016-08-20,6.246199504150519E13,11.01842213
2016-08-21,6.34444885096766E13,11.16414452
2016-08-22,6.3789550544424836E13,11.19819069
2016-08-23,6.5487609830726664E13,10.97469711
2016-08-24,6.596978023376875E13,11.04823494
2016-08-25,6.6354655323818E13,11.24854374
2016-08-26,6.942018793460314E13,11.29399109
2016-08-27,6.9048071050855086E13,11.19051075
2016-08-28,6.924200370717634E13,11.10728836
2016-08-29,6.849094452421901E13,10.91968632
2016-08-30,6.778987724050392E13,11.19962215
2016-08-31,6.862098879349793E13,11.20655727
2016-09-01,7.051647541280666E13,12.0040493
2016-09-02,7.009787762201889E13,12.05083942
2016-09-03,6.9409670926264305E13,11.68476868
2016-09-04,6.647326778639195E13,11.7645483
2016-09-05,6.700600866184724E13,11.73810863
2016-09-06,6.804446870940886E13,11.61868286
2016-09-07,6.790131972550459E13,11.6288023
2016-09-08,6.920361051245919E13,11.56850052
2016-09-09,6.796299922817939E13,11.45089531
2016-09-10,6.957882758897455E13,11.72736263
2016-09-11,7.032220869774947E13,11.85478401
2016-09-12,7.115015808246442E13,11.65324211
2016-09-13,7.212180603152253E13,12.08258915
2016-09-14,7.200975291328342E13,11.94601536
2016-09-15,7.29485553450285E13,12.00962353
2016-09-16,7.274454733305156E13,11.93481731
2016-09-17,7.457913267101719E13,12.58448887
2016-09-18,7.520788573825688E13,12.67479992
2016-09-19,6.135417188373681E13,12.73502922
2016-09-20,7.194209112524969E13,13.38055134
2016-09-21,7.729591408801056E13,14.20669651
2016-09-22,7.817475665964925E13,12.84622383
2016-09-23,6.7905653469432336E13,13.10164452
2016-09-24,7.521908969303588E13,12.92832279
2016-09-25,7.207031972211119E13,12.98826027
2016-09-26,7.842200258546862E13,12.88971233
2016-09-27,7.136903878224931E13,13.16527462
2016-09-28,7.849350297405166E13,13.44039631
2016-09-29,8.238130709543612E13,13.25716496
2016-09-30,8.37879170453689E13,13.33109093
2016-10-01,8.008237395041003E13,13.13239765
2016-10-02,7.450360706139508E13,13.16473293
2016-10-03,7.93020053894458E13,13.20552063
2016-10-04,8.575667723965353E13,13.39880371
2016-10-05,8.379506983409639E13,13.25749874
2016-10-06,8.285949021986556E13,12.84533882
2016-10-07,7.453617181036156E13,12.92625523
2016-10-08,7.163897437859572E13,12.64265347
2016-10-09,8.259686943123706E13,12.26047421
2016-10-10,8.637245050714377E13,11.90778828
2016-10-11,8.873950962675938E13,12.13507748
2016-10-12,8.652996616933139E13,11.73500061
2016-10-13,8.094313216976106E13,11.99354458
2016-10-14,9.027071808882766E13,11.9192934
2016-10-15,9.434255826854888E13,11.86220741
2016-10-16,9.523945408474028E13,11.95855045
2016-10-17,9.285436263049058E13,11.92120838
2016-10-18,9.17339726466071E13,12.19547844
2016-10-19,9.70553206286915E13,12.49901009
2016-10-20,8.70831217995142E13,12.20103645
2016-10-21,1.0107161477948108E14,12.08692837
2016-10-22,1.0386722358101083E14,12.12838173
2016-10-23,1.0263493400488445E14,11.96116257
2016-10-24,1.0122838003151708E14,11.99033356
2016-10-25,1.0432055544963797E14,11.26816273
2016-10-26,1.0430196131517784E14,11.58884907
2016-10-27,1.05373575112187E14,11.43562508
2016-10-28,1.0253114443542553E14,11.53957653
2016-10-29,9.249404132189605E13,11.10292244
2016-10-30,7.682498865925923E13,10.48897076
2016-10-31,8.048349528309323E13,11.17594051
2016-11-01,7.748731819894997E13,10.73330975
2016-11-02,6.661798390851374E13,10.9131155
2016-11-03,6.256061719338654E13,10.79964828
2016-11-04,5.884959682831236E13,10.93370247
2016-11-05,5.4108481306160695E13,11.05909157
2016-11-06,5.156702813011141E13,10.87234211
2016-11-07,5.520656205210726E13,10.89083767
2016-11-08,6.457854612094202E13,10.89247608
2016-11-09,6.991730494191244E13,10.42971802
2016-11-10,6.388980862888337E13,10.55637455
2016-11-11,6.107997989681311E13,10.51397896
2016-11-12,6.0201906941781984E13,10.181036
2016-11-13,6.2683377469217016E13,10.19999409
2016-11-14,6.773448827561489E13,9.98183823
2016-11-15,6.9206029997257625E13,10.24454117
2016-11-16,6.822084663773832E13,10.28198242
2016-11-17,6.869203498445765E13,10.10865688
2016-11-18,6.404791099113837E13,9.97877407
2016-11-19,7.043669660601236E13,9.57619572
2016-11-20,7.590897950516294E13,9.61849403
2016-11-21,8.301818812685658E13,9.57175732
2016-11-22,8.327995318121966E13,9.94512939
2016-11-23,7.80582403002944E13,9.87179089
2016-11-24,7.031188094009674E13,9.78180313
2016-11-25,6.529779645997674E13,9.27416229
2016-11-26,6.88494848230612E13,9.37100124
2016-11-27,6.583708091334797E13,9.12840176
2016-11-28,6.660618613312025E13,8.95883465
2016-11-29,6.8643975311547516E13,8.48675156
2016-11-30,6.921585925122697E13,8.27385712
2016-12-01,7.0231062951288195E13,8.39436626
2016-12-02,7.071113085429081E13,7.63683796
2016-12-03,7.282541719662473E13,7.90301895
2016-12-04,7.58146356842E13,7.90249872
2016-12-05,7.495611534976652E13,7.46398783
2016-12-06,7.158046103596894E13,6.9359355
2016-12-07,7.238877633190153E13,7.57976294
2016-12-08,7.541798094757248E13,8.57879162
2016-12-09,7.876920496192172E13,8.57343674
2016-12-10,8.037580145895922E13,8.30651474
2016-12-11,8.216105318460106E13,8.21545887
2016-12-12,8.202926931737144E13,8.41560459
2016-12-13,8.142877495403952E13,8.44915771
2016-12-14,8.166396185933325E13,8.3716526
2016-12-15,8.230589644320588E13,7.98988962
2016-12-16,8.419612239672778E13,7.83320808
2016-12-17,8.329793873638366E13,7.78552341
2016-12-18,8.726012420764767E13,7.89772511
2016-12-19,8.859210943373153E13,7.74505043
2016-12-20,9.006818111384258E13,7.63710451
2016-12-21,9.03320485173082E13,7.67782974
2016-12-22,8.981847738746631E13,7.61255884
2016-12-23,8.471967571673633E13,7.40170383
2016-12-24,7.726977267419062E13,7.33150196
2016-12-25,7.754667278763284E13,7.31269884
2016-12-26,8.220666279209231E13,7.28469181
2016-12-27,8.122509572502869E13,7.21640587
2016-12-28,7.994615903231538E13,7.3052659
2016-12-29,7.872821989715661E13,8.08511066
2016-12-30,7.849668419043292E13,8.1172781
2016-12-31,8.129583050130403E13,7.97572088
2017-01-01,7.938729414215219E13,8.44290161
2017-01-02,8.06255158646431E13,8.29045868
2017-01-03,8.079903589272289E13,8.42391968
2017-01-04,8.395316928182162E13,10.40668869
2017-01-05,9.003842127155247E13,10.17251587
2017-01-06,9.222288237608286E13,10.12520123
2017-01-07,9.18976104883315E13,10.04981232
2017-01-08,9.35738621921385E13,10.08623219
2017-01-09,9.750716406622781E13,10.32278633
2017-01-10,9.843608638964677E13,10.40650654
2017-01-11,9.847594778033105E13,9.87361526
2017-01-12,9.968779335210542E13,9.5852623
2017-01-13,1.009869460943821E14,9.74505711
2017-01-14,1.0144159791659712E14,9.6504097
2017-01-15,1.034664185512081E14,9.8756094
2017-01-16,1.046333203860906E14,9.84827423
2017-01-17,1.0408324739728781E14,10.10851097
2017-01-18,1.0260426151421805E14,10.13010597
2017-01-19,1.0403522150549184E14,10.26816368
2017-01-20,1.0860605590265316E14,10.58528042
2017-01-21,1.0739457932092136E14,10.85219193
2017-01-22,1.0855337762274947E14,10.72018909
2017-01-23,1.1059410136465473E14,10.72600555
2017-01-24,1.1008891529826528E14,10.71712017
2017-01-25,1.1037117140642927E14,10.5147543
2017-01-26,1.1080376045016898E14,10.57678699
2017-01-27,1.1307893627185528E14,10.48508549
2017-01-28,1.1108812151955989E14,10.51917839
2017-01-29,1.1220204781960706E14,10.49586296
2017-01-30,1.0965905764609205E14,10.50073338
2017-01-31,1.1245966603443847E14,10.56471634
2017-02-01,1.1198233583331773E14,10.62877083
2017-02-02,1.1255127599459031E14,10.67805576
2017-02-03,1.1354132222946644E14,10.87989998
2017-02-04,1.1197476396082153E14,11.3878479
2017-02-05,1.1626236039316636E14,11.3610239
2017-02-06,1.1833757289687775E14,11.39671993
2017-02-07,1.2014171448770466E14,11.46568871
2017-02-08,1.1961496793508616E14,11.34819221
2017-02-09,1.208490727550182E14,11.54552555
2017-02-10,1.2383779294217317E14,11.06329632
2017-02-11,1.2443549728773752E14,11.27564049
2017-02-12,1.2611504651640689E14,11.31136131
2017-02-13,1.2638632894459439E14,11.20249748
2017-02-14,1.2982766733801214E14,12.58078289
2017-02-15,1.287336854288575E14,12.81957531
2017-02-16,1.309763658506061E14,12.60032368
2017-02-17,1.3172381015324678E14,12.78670406
2017-02-18,1.3479100966170725E14,12.7598362
2017-02-19,1.3622831888687188E14,12.80346584
2017-02-20,1.3687205201713538E14,12.86492729
2017-02-21,1.390796524069442E14,12.48175907
2017-02-22,1.4098604891183834E14,12.70765495
2017-02-23,1.3959030073897052E14,12.77905083
2017-02-24,1.400284010642934E14,13.0295639
2017-02-25,1.4141947354035425E14,13.61951256
2017-02-26,1.4678013022071734E14,13.46938324
2017-02-27,1.5055371823236775E14,14.63193226
2017-02-28,1.5184933569828434E14,15.80909538
