Time,ETH Gas price,Price
2017-11-19,1.2035689054748601E-8,357.2210083
2017-11-20,1.2894882405077964E-8,361.82946777
2017-11-21,1.3929433813945507E-8,369.5612793
2017-11-22,1.4254956850878626E-8,363.42944336
2017-11-23,1.3518509072764343E-8,412.79376221
2017-11-24,1.2804266748473833E-8,412.22106934
2017-11-25,1.0216659681429711E-8,474.94006348
2017-11-26,1.2323537715712516E-8,460.09057617
2017-11-27,1.294181854435433E-8,480.62976074
2017-11-28,1.31250098256E-8,480.12127686
2017-11-29,1.4918052984731105E-8,496.43261719
2017-11-30,1.5272227303949097E-8,408.70800781
2017-12-01,1.3735149902309005E-8,456.96066284
2017-12-02,1.1575384845857642E-8,469.29055786
2017-12-03,1.0548003976612008E-8,462.17077637
2017-12-04,1.752527210963224E-8,466.52502441
2017-12-05,3.330793588335417E-8,468.7321167
2017-12-06,3.87284719422699E-8,456.16897583
2017-12-07,5.7177310167731816E-8,425.63070679
2017-12-08,6.115042798441263E-8,453.54656982
2017-12-09,5.894515685203423E-8,471.6619873
2017-12-10,4.891820193303042E-8,452.13876343
2017-12-11,4.000647667196604E-8,473.95916748
2017-12-12,3.5411970945783016E-8,535.36328125
2017-12-13,3.3476547700579436E-8,618.68151855
2017-12-14,3.7536384403152745E-8,692.40600586
2017-12-15,3.95557257274701E-8,696.08081055
2017-12-16,3.309567874292397E-8,699.24981689
2017-12-17,3.070236016510068E-8,716.13946533
2017-12-18,2.5917584651354487E-8,732.18762207
2017-12-19,3.2425587422439576E-8,820.32086182
2017-12-20,3.97458084923493E-8,805.95758057
2017-12-21,4.092318372436535E-8,795.32440186
2017-12-22,3.985504124588172E-8,655.90209961
2017-12-23,3.237649406935049E-8,736.55804443
2017-12-24,2.7643718102539256E-8,653.69824219
2017-12-25,2.120062834662503E-8,757.78100586
2017-12-26,1.9422486945740654E-8,773.18463135
2017-12-27,1.9248483753225497E-8,781.16693115
2017-12-28,2.047214041372757E-8,739.44537354
2017-12-29,2.1735773089086446E-8,754.77386475
2017-12-30,2.418777181044455E-8,709.14361572
2017-12-31,2.16909605150485E-8,723.21386719
2018-01-01,1.980719747214941E-8,769.96173096
2018-01-02,2.2352632155822246E-8,886.34436035
2018-01-03,2.7900744913508094E-8,882.25628662
2018-01-04,3.3064491973477223E-8,954.21325684
2018-01-05,5.415873960120445E-8,1045.29394531
2018-01-06,9.938285854035526E-8,1002.57525635
2018-01-07,7.203941924687077E-8,1090.83947754
2018-01-08,6.858742675697893E-8,1088.60693359
2018-01-09,7.222055432997556E-8,1209.15039063
2018-01-10,8.60973103583429E-8,1364.84814453
2018-01-11,8.434778830743297E-8,1228.5994873
2018-01-12,6.51998170166216E-8,1247.54699707
2018-01-13,5.0702272337763295E-8,1295.71936035
2018-01-14,6.190938111774442E-8,1392.17797852
2018-01-15,4.9395473247350365E-8,1346.0513916
2018-01-16,5.366853733071031E-8,1242.75341797
2018-01-17,4.932276925003506E-8,954.39715576
2018-01-18,5.127162593150067E-8,1025.27148438
2018-01-19,4.8152681837665744E-8,1061.92993164
2018-01-20,4.483017792322318E-8,1075.56970215
2018-01-21,3.4553974073354024E-8,1134.66638184
2018-01-22,2.7744740697810952E-8,960.67419434
2018-01-23,3.439818108002053E-8,1013.98480225
2018-01-24,3.174620753429496E-8,1031.86169434
2018-01-25,2.8835401854635864E-8,1034.74243164
2018-01-26,2.41566328056964E-8,1050.9720459
2018-01-27,2.2333801449518184E-8,1095.18273926
2018-01-28,2.2370763233784822E-8,1129.69506836
2018-01-29,3.023301313838394E-8,1200.52368164
2018-01-30,2.6425773804816036E-8,1145.86450195
2018-01-31,2.470933730087126E-8,1102.71533203
2018-02-01,3.091515514821044E-8,1138.50561523
2018-02-02,3.640442852125774E-8,954.35913086
2018-02-03,2.461703872248759E-8,955.11651611
2018-02-04,2.193864267694991E-8,864.21588135
2018-02-05,2.031747391744683E-8,836.07806396
2018-02-06,2.4153276986042406E-8,742.73553467
2018-02-07,2.197271323493034E-8,812.49127197
2018-02-08,1.985825441047277E-8,806.39074707
2018-02-09,1.6477406300725048E-8,806.53649902
2018-02-10,1.959378265659592E-8,847.33850098
2018-02-11,1.6810144604605758E-8,852.11810303
2018-02-12,1.708398714181035E-8,856.97296143
2018-02-13,1.5765487007416765E-8,857.95758057
2018-02-14,1.8241632263153123E-8,902.66778564
2018-02-15,1.6904812058527288E-8,933.9887085
2018-02-16,1.5679954548156555E-8,938.65093994
2018-02-17,1.6678022613942923E-8,961.27746582
2018-02-18,2.0164100810623292E-8,944.79455566
2018-02-19,1.5712422485300292E-8,931.19909668
2018-02-20,1.779936820635772E-8,942.46661377
2018-02-21,2.000732676684686E-8,849.50537109
2018-02-22,1.4441434911449194E-8,825.77062988
2018-02-23,1.7720213328376493E-8,838.43707275
2018-02-24,1.5384079568320047E-8,837.11804199
2018-02-25,1.5893387068482997E-8,827.74163818
2018-02-26,1.4613541846029568E-8,876.27520752
2018-02-27,1.4204720847831058E-8,871.24755859
2018-02-28,1.881087341005798E-8,888.44708252
2018-03-01,1.5591408217130326E-8,867.03179932
2018-03-02,1.872059288688178E-8,855.5411377
2018-03-03,1.3948519576285745E-8,864.79095459
2018-03-04,1.4330623635366997E-8,847.83050537
2018-03-05,1.4618270225411568E-8,867.68896484
2018-03-06,1.5369590860765902E-8,832.01580811
2018-03-07,1.5448919541712608E-8,812.98974609
2018-03-08,1.4810327819306157E-8,741.19873047
2018-03-09,1.3848378680562946E-8,701.0189209
2018-03-10,1.1506291211528574E-8,732.93408203
2018-03-11,1.0536131701294475E-8,708.91540527
2018-03-12,1.3179566332065016E-8,697.64099121
2018-03-13,1.1662157054005043E-8,696.71765137
2018-03-14,1.1815239197803732E-8,656.14129639
2018-03-15,1.140833198916912E-8,588.16638184
2018-03-16,1.2109663662082108E-8,598.66394043
2018-03-17,1.0041009475735401E-8,598.8447876
2018-03-18,9.807947335416812E-9,466.09069824
2018-03-19,1.0499511738471063E-8,551.63769531
2018-03-20,1.059357054452832E-8,556.75140381
2018-03-21,1.0929885734112516E-8,567.94128418
2018-03-22,1.3792599964509387E-8,531.77514648
2018-03-23,1.1990210280144338E-8,516.39605713
2018-03-24,1.2807567983313252E-8,541.47979736
2018-03-25,1.0486441974788548E-8,520.65631104
2018-03-26,1.3122453227359348E-8,522.40966797
2018-03-27,1.1582537564565182E-8,468.53948975
