Time,ETH market cap,Price
2018-12-06,1.0201280776163443E10,98.43298295
2018-12-07,8.880692010865929E9,85.67439262
2018-12-08,9.313469665630465E9,89.83262355
2018-12-09,9.576240401695042E9,92.34965863
2018-12-10,9.444409556373789E9,91.06091623
2018-12-11,9.445805503251556E9,91.05720962
2018-12-12,9.228082185150206E9,88.94143673
2018-12-13,9.322638290827736E9,89.83586696
2018-12-14,8.978615772882223E9,86.50444511
2018-12-15,8.598855718951155E9,82.82989029
2018-12-16,9.04168285729512E9,87.07905
2018-12-17,8.90587559351228E9,85.75534949
2018-12-18,9.960845377137197E9,95.89627885
2018-12-19,1.0798948518410915E10,103.94602218
2018-12-20,1.0631053942735678E10,102.31148661
2018-12-21,1.1993667180089659E10,115.40394444
2018-12-22,1.1302451520130938E10,108.73326358
2018-12-23,1.347051280365103E10,129.56706478
2018-12-24,1.579280438336279E10,151.87638344
2018-12-25,1.3015662895808857E10,125.1463481
2018-12-26,1.4002025833852932E10,134.6052846
2018-12-27,1.2987176438074493E10,124.82665446
2018-12-28,1.3273222377991049E10,127.55277866
2018-12-29,1.4236906235289486E10,136.78863171
2018-12-30,1.4065317019177078E10,135.11526172
2018-12-31,1.4217938896189642E10,136.55651101
2019-01-01,1.3880753047558033E10,133.29395771
2019-01-02,1.4718367052909645E10,141.31147374
2019-01-03,1.6005931530508608E10,153.6462316
2019-01-04,1.5592201456694654E10,149.64903937
2019-01-05,1.6653412051698664E10,159.80673399
2019-01-06,1.599444319565621E10,153.45698999
2019-01-07,1.5951330047433775E10,153.01671371
2019-01-08,1.5573855162965029E10,149.37027626
2019-01-09,1.5746533080019642E10,151.00054544
2019-01-10,1.576397431905625E10,151.14186113
2019-01-11,1.3327445866163404E10,127.75900722
2019-01-12,1.324443988365247E10,126.94171779
2019-01-13,1.3175487733882849E10,126.25925105
2019-01-14,1.2360874466001348E10,118.43255169
2019-01-15,1.3286507242993973E10,127.27935124
2019-01-16,1.2745000391075092E10,122.07125492
2019-01-17,1.2754373326474852E10,122.14025857
2019-01-18,1.280015890548634E10,122.55786307
2019-01-19,1.271061992186187E10,121.67946858
2019-01-20,1.2503725776359327E10,119.67858312
2019-01-21,1.2414132704467295E10,118.80220738
2019-01-22,1.2414162710051594E10,118.78417225
2019-01-23,1.2363562744660305E10,118.28204602
2019-01-24,1.2153541162139288E10,116.25489292
2019-01-25,1.2200172134071573E10,116.68306815
2019-01-26,1.2222314648022718E10,116.87688759
2019-01-27,1.1951520916783108E10,114.26995758
2019-01-28,1.0938672782745945E10,104.57044664
2019-01-29,1.1029282411194515E10,105.4210247
2019-01-30,1.1060259569258778E10,105.70168381
2019-01-31,1.1225928243647158E10,107.26888187
2019-02-01,1.1261348204808676E10,107.59140987
2019-02-02,1.127576029718454E10,107.71315672
2019-02-03,1.1305485039723911E10,107.98136174
2019-02-04,1.1259096468187828E10,107.52241756
2019-02-05,1.1245751796562675E10,107.37913618
2019-02-06,1.087543792000433E10,103.82808572
2019-02-07,1.0992903528844187E10,104.93407216
2019-02-08,1.0987869732088026E10,104.87060527
2019-02-09,1.2421188937674091E10,118.53311868
2019-02-10,1.2500123984532537E10,119.27010717
2019-02-11,1.2691911708951046E10,121.08514382
2019-02-12,1.2651830970577734E10,120.68742194
2019-02-13,1.281003662075547E10,122.18117957
2019-02-14,1.2843010169045696E10,122.48043983
2019-02-15,1.2842202780913652E10,122.45746216
2019-02-16,1.2950667689626034E10,123.47624514
2019-02-17,1.3234715904515612E10,126.16862795
2019-02-18,1.449374419014166E10,138.15369949
2019-02-19,1.5459873591768473E10,147.34385672
2019-02-20,1.5380764255610796E10,146.57131195
2019-02-21,1.555316120126223E10,148.19528426
2019-02-22,1.5436825333077524E10,147.06811479
2019-02-23,1.5582505477288252E10,148.43684493
2019-02-24,1.4914599958672783E10,142.05625495
2019-02-25,1.4763305947676435E10,140.59732835
2019-02-26,1.4517116253407566E10,138.23506213
2019-02-27,1.4661098028723759E10,139.58803746
2019-02-28,1.4446574453548958E10,137.52803404
2019-03-01,1.4415573027561659E10,137.21671737
2019-03-02,1.4391371237976786E10,136.96863639
2019-03-03,1.3988371777162956E10,133.11580836
2019-03-04,1.3758055694405704E10,130.9071094
2019-03-05,1.3401119384903803E10,127.49446416
2019-03-06,1.437345513604401E10,136.72702875
2019-03-07,1.454944854773311E10,138.38331763
2019-03-08,1.444004383629893E10,137.32476757
2019-03-09,1.427520433503469E10,135.73967075
2019-03-10,1.4435826988549477E10,137.24920323
2019-03-11,1.400539396149589E10,133.13953812
2019-03-12,1.4117255407410553E10,134.18561315
2019-03-13,1.409028105308132E10,133.91192004
2019-03-14,1.4087633665288958E10,133.8693986
2019-03-15,1.4518524276798306E10,137.94602591
2019-03-16,1.483352893363799E10,140.92073362
2019-03-17,1.470806809032315E10,139.71073077
2019-03-18,1.4920378351035877E10,141.70926769
2019-03-19,1.478189319149044E10,140.37596934
2019-03-20,1.4643434664684538E10,139.04297302
2019-03-21,1.4798083326651344E10,140.49319159
2019-03-22,1.4536370877606129E10,137.99054146
2019-03-23,1.455362212305879E10,138.13637195
2019-03-24,1.4476175029761028E10,137.38351924
2019-03-25,1.4468840731249714E10,137.29619292
2019-03-26,1.4181158333998438E10,134.54907912
2019-03-27,1.4631006629929293E10,138.79906486
2019-03-28,1.4768640684690273E10,140.08666645
2019-03-29,1.48784457879639E10,141.11003445
2019-03-30,1.4948420941799982E10,141.75563232
2019-03-31,1.4906435232198322E10,141.33903634
2019-04-01,1.4973654397416073E10,141.95795209
2019-04-02,1.6383685660609623E10,155.30580585
2019-04-03,1.8187070193428288E10,172.3784242
2019-04-04,1.6988865064612597E10,161.00075944
