Time,ETH daily transaction fee,Price
2017-07-23,280.13,229.30355835
2017-07-24,322.82,225.04364014
2017-07-25,270.71,207.49874878
2017-07-26,359.47,202.01931763
2017-07-27,287.2,204.34919739
2017-07-28,267.99,203.32189941
2017-07-29,232.89,184.85980225
2017-07-30,197.49,200.7035675
2017-07-31,227.28,198.70417786
2017-08-01,254.75,212.01089478
2017-08-02,258.6,226.93367004
2017-08-03,225.51,226.17558289
2017-08-04,228.48,223.84744263
2017-08-05,222.25,241.99623108
2017-08-06,245.87,258.18136597
2017-08-07,243.74,264.40625
2017-08-08,389.0,271.21444702
2017-08-09,301.5,318.71627808
2017-08-10,277.68,305.47634888
2017-08-11,337.46,298.42956543
2017-08-12,353.24,312.16744995
2017-08-13,319.51,301.66647339
2017-08-14,345.75,302.30514526
2017-08-15,334.05,285.17263794
2017-08-16,1078.81,290.7510376
2017-08-17,570.8,304.14562988
2017-08-18,1225.41,300.87255859
2017-08-19,439.94,292.3447876
2017-08-20,388.86,294.63638306
2017-08-21,327.5,301.27523804
2017-08-22,337.12,309.95062256
2017-08-23,310.7,319.51849365
2017-08-24,327.4,318.86367798
2017-08-25,308.12,334.72201538
2017-08-26,308.84,330.87490845
2017-08-27,254.59,334.78726196
2017-08-28,317.49,343.97930908
2017-08-29,432.64,349.96069336
2017-08-30,491.51,376.90368652
2017-08-31,641.95,380.72720337
2017-09-01,603.64,389.35375977
2017-09-02,647.41,378.00906372
2017-09-03,300.26,352.28427124
2017-09-04,398.47,286.66098022
2017-09-05,592.78,276.37460327
2017-09-06,734.88,324.12860107
2017-09-07,774.83,324.2862854
2017-09-08,695.4,299.46481323
2017-09-09,611.11,292.76257324
2017-09-10,425.99,285.07400513
2017-09-11,372.13,299.41687012
2017-09-12,483.89,301.41531372
2017-09-13,489.36,269.80636597
2017-09-14,399.74,239.42408752
2017-09-15,571.77,252.30776978
2017-09-16,708.98,240.00071716
2017-09-17,414.44,243.30102539
2017-09-18,370.27,287.33227539
2017-09-19,411.9,287.42733765
2017-09-20,637.72,288.71542358
2017-09-21,352.76,280.62838745
2017-09-22,297.97,256.54910278
2017-09-23,339.69,264.14486694
2017-09-24,415.2,292.67782593
2017-09-25,380.8,286.30929565
2017-09-26,371.96,288.91235352
2017-09-27,436.82,290.36685181
2017-09-28,364.61,296.44760132
2017-09-29,331.55,280.80111694
2017-09-30,382.1,302.53952026
2017-10-01,341.96,298.63897705
2017-10-02,368.36,300.26690674
2017-10-03,354.09,299.65270996
2017-10-04,399.15,297.97106934
2017-10-05,368.55,290.89224243
2017-10-06,476.04,295.99227905
2017-10-07,349.37,309.40618896
2017-10-08,332.57,312.48898315
2017-10-09,377.86,299.80682373
2017-10-10,407.25,305.36425781
2017-10-11,951.5,300.83166504
2017-10-12,403.11,307.37060547
2017-10-13,489.7,340.62664795
2017-10-14,407.6,343.33285522
2017-10-15,396.75,334.2616272
2017-10-16,338.11,339.01843262
2017-10-17,325.85,320.37731934
2017-10-18,315.23,306.11712646
2017-10-19,251.02,308.99649048
2017-10-20,518.6,308.71972656
2017-10-21,260.55,292.77175903
2017-10-22,183.82,303.14559937
2017-10-23,240.96,282.73440552
2017-10-24,368.58,308.03277588
2017-10-25,282.5,295.03320313
