Time,BTC total supply,Price
2010-06-23,3116850.0,null
2010-06-24,3125550.0,null
2010-06-25,3133800.0,null
2010-06-26,3141800.0,null
2010-06-27,3149650.0,null
2010-06-28,3157600.0,null
2010-06-29,3165850.0,null
2010-06-30,3174550.0,null
2010-07-01,3185150.0,null
2010-07-02,3194500.0,null
2010-07-03,3204100.0,null
2010-07-04,3213450.0,null
2010-07-05,3222050.0,null
2010-07-06,3230850.0,null
2010-07-07,3238550.0,null
2010-07-08,3246100.0,null
2010-07-09,3255700.0,null
2010-07-10,3265300.0,null
2010-07-11,3274300.0,null
2010-07-12,3296400.0,null
2010-07-13,3335250.0,null
2010-07-14,3364300.0,null
2010-07-15,3395300.0,null
2010-07-16,3426550.0,null
2010-07-17,3436350.0,0.049510000000000005
2010-07-18,3445050.0,0.08584
2010-07-19,3453300.0,0.0808
2010-07-20,3462450.0,0.07473333333333332
2010-07-21,3472600.0,0.07921
2010-07-22,3481600.0,0.055945
2010-07-23,3491400.0,0.062283333333333336
2010-07-24,3500150.0,0.05454
2010-07-25,3511000.0,0.0505
2010-07-26,3524050.0,0.056
2010-07-27,3532900.0,0.059844444444444436
2010-07-28,3541250.0,0.0589
2010-07-29,3550100.0,0.06920000000000001
2010-07-30,3559050.0,0.06428333333333333
2010-07-31,3567950.0,0.06785
2010-08-01,3579200.0,0.0611
2010-08-02,3591800.0,0.06
2010-08-03,3603600.0,0.06
2010-08-04,3614750.0,0.05795
2010-08-05,3626750.0,0.061
2010-08-06,3635400.0,0.0621
2010-08-07,3642650.0,0.059
2010-08-08,3652050.0,0.0609
2010-08-09,3661450.0,0.071
2010-08-10,3671500.0,0.07
2010-08-11,3682600.0,0.067
2010-08-12,3693450.0,0.07
2010-08-13,3704300.0,0.0645
2010-08-14,3716700.0,0.067
2010-08-15,3731400.0,0.06529
2010-08-16,3736600.0,0.0655
2010-08-17,3743750.0,0.07
2010-08-18,3750250.0,0.068
2010-08-19,3757300.0,0.0667
2010-08-20,3765750.0,0.0655
2010-08-21,3774700.0,0.0664
2010-08-22,3784300.0,0.066
2010-08-23,3795650.0,0.06491
2010-08-24,3805700.0,0.065
2010-08-25,3817000.0,0.0648
2010-08-26,3827250.0,0.064
2010-08-27,3836350.0,0.065
2010-08-28,3845400.0,0.0646
2010-08-29,3853000.0,0.064
2010-08-30,3860800.0,0.06497
2010-08-31,3869450.0,0.06
2010-09-01,3878100.0,0.062300000000000015
2010-09-02,3886050.0,0.0631
2010-09-03,3893650.0,0.06085
2010-09-04,3902850.0,0.06238
2010-09-05,3911000.0,0.0616
2010-09-06,3919250.0,0.0616
2010-09-07,3926850.0,0.061505
2010-09-08,3934450.0,0.061495
2010-09-09,3942350.0,0.06111000000000001
2010-09-10,3950550.0,0.0618
2010-09-11,3958650.0,0.06366000000000001
2010-09-12,3967650.0,0.0615
2010-09-13,3976100.0,0.062179999999999985
2010-09-14,3985800.0,0.06199
2010-09-15,3994950.0,0.0604
2010-09-16,4004550.0,0.0618
2010-09-17,4015200.0,0.05938
2010-09-18,4026650.0,0.061
2010-09-19,4037350.0,0.0627
2010-09-20,4048100.0,0.0621
2010-09-21,4057200.0,0.06265
2010-09-22,4065950.0,0.062038
2010-09-23,4076000.0,0.06231
2010-09-24,4088550.0,0.0622
2010-09-25,4098450.0,0.06202000000000001
2010-09-26,4108550.0,0.06219
2010-09-27,4120300.0,0.0622
2010-09-28,4131150.0,0.061904999999999995
2010-09-29,4139850.0,0.06183
2010-09-30,4147100.0,0.0619
2010-10-01,4155200.0,0.06197
2010-10-02,4160750.0,0.0614
2010-10-03,4166500.0,0.06111000000000001
2010-10-04,4174100.0,0.06129
2010-10-05,4180450.0,0.0614
2010-10-06,4188150.0,0.06297666666666668
2010-10-07,4196600.0,0.067
2010-10-08,4204400.0,0.084925
2010-10-09,4211800.0,0.0938
2010-10-10,4220550.0,0.0965
2010-10-11,4229000.0,0.095
2010-10-12,4236800.0,0.0949
2010-10-13,4245450.0,0.105
2010-10-14,4254650.0,0.102
2010-10-15,4263750.0,0.105
2010-10-16,4276000.0,0.101
2010-10-17,4290000.0,0.102
2010-10-18,4302850.0,0.1024
2010-10-19,4314650.0,0.09715
2010-10-20,4327050.0,0.099
2010-10-21,4338500.0,0.107
2010-10-22,4346750.0,0.106
2010-10-23,4355350.0,0.104995
2010-10-24,4364300.0,0.11501
2010-10-25,4374900.0,0.132
2010-10-26,4386650.0,0.1503
2010-10-27,4397500.0,0.1877
2010-10-28,4408200.0,0.1731
2010-10-29,4420100.0,0.19
2010-10-30,4432100.0,0.1989
2010-10-31,4441900.0,0.1925
2010-11-01,4450650.0,0.1955
2010-11-02,4459450.0,0.1938
2010-11-03,4469000.0,0.1931
2010-11-04,4478750.0,0.23
2010-11-05,4489400.0,0.2639
2010-11-06,4499600.0,0.38
2010-11-07,4511850.0,0.34
2010-11-08,4525000.0,0.243
2010-11-09,4537200.0,0.21
2010-11-10,4546750.0,0.2362
2010-11-11,4558650.0,0.2231
2010-11-12,4567450.0,0.2682
2010-11-13,4577550.0,0.276
2010-11-14,4589600.0,0.27904
2010-11-15,4600700.0,0.2682
2010-11-16,4609450.0,0.225
2010-11-17,4621950.0,0.24736666666666665
2010-11-18,4635400.0,0.2678
2010-11-19,4644200.0,0.2752
2010-11-20,4649750.0,0.283955
2010-11-21,4656750.0,0.27675
2010-11-22,4664500.0,0.2843
2010-11-23,4672100.0,0.28295
2010-11-24,4681050.0,0.28299
2010-11-25,4688400.0,0.28
2010-11-26,4698700.0,0.2844
2010-11-27,4707850.0,0.28300000000000003
2010-11-28,4715900.0,0.2710819672131145
2010-11-29,4726350.0,0.23305
2010-11-30,4737300.0,0.2082
2010-12-01,4745500.0,0.2275
2010-12-02,4755650.0,0.255
2010-12-03,4765300.0,0.25105
2010-12-04,4776050.0,0.206
2010-12-05,4788000.0,0.195
2010-12-06,4800050.0,0.204
2010-12-07,4811550.0,0.2366
2010-12-08,4822850.0,0.2388
2010-12-09,4835500.0,0.192105
2010-12-10,4843400.0,0.20385
2010-12-11,4851950.0,0.228
2010-12-12,4860850.0,0.22
2010-12-13,4868550.0,0.2299
2010-12-14,4876400.0,0.24669
2010-12-15,4885250.0,0.24
2010-12-16,4894600.0,0.24996
2010-12-17,4903400.0,0.24
2010-12-18,4911200.0,0.241
2010-12-19,4920150.0,0.2401
2010-12-20,4928850.0,0.267
2010-12-21,4938200.0,0.24
2010-12-22,4946200.0,0.25
2010-12-23,4953350.0,0.24875250000000002
2010-12-24,4961000.0,0.248
2010-12-25,4969100.0,0.2499
2010-12-26,4976200.0,0.265
2010-12-27,4983750.0,0.265
2010-12-28,4992700.0,0.281
2010-12-29,5001300.0,0.2998
2010-12-30,5009300.0,0.3
2010-12-31,5017500.0,0.3
2011-01-01,5026550.0,0.3
2011-01-02,5035650.0,0.29997
2011-01-03,5043600.0,0.295
2011-01-04,5050900.0,0.29895
2011-01-05,5058350.0,0.29892
2011-01-06,5065750.0,0.298
2011-01-07,5072900.0,0.32
2011-01-08,5082150.0,0.3229
2011-01-09,5089850.0,0.32299999999999995
2011-01-10,5098600.0,0.32659
2011-01-11,5106550.0,0.32659
2011-01-12,5114550.0,0.3188
2011-01-13,5124100.0,0.3176
2011-01-14,5132800.0,0.4
2011-01-15,5141400.0,0.386
2011-01-16,5150200.0,0.38679
2011-01-17,5158650.0,0.3495
2011-01-18,5166700.0,0.31299
2011-01-19,5174850.0,0.31299
2011-01-20,5183550.0,0.39
2011-01-21,5192850.0,0.419905
2011-01-22,5200700.0,0.44399
2011-01-23,5209350.0,0.4424
2011-01-24,5218300.0,0.4199
2011-01-25,5226300.0,0.41
2011-01-26,5235600.0,0.41367
2011-01-27,5244100.0,0.4212
2011-01-28,5251950.0,0.446
2011-01-29,5259450.0,0.439
2011-01-30,5267600.0,0.47985
2011-01-31,5275350.0,0.5501
2011-02-01,5284250.0,0.70773
2011-02-02,5291950.0,0.716
2011-02-03,5299850.0,0.69639
2011-02-04,5308750.0,0.8109999999999999
2011-02-05,5318500.0,0.90735
2011-02-06,5327050.0,0.8968
2011-02-07,5336950.0,0.89
2011-02-08,5345800.0,0.918
2011-02-09,5355150.0,1.084495
2011-02-10,5364400.0,0.9751549999999999
2011-02-11,5373800.0,1.0700049999999999
2011-02-12,5383050.0,1.0799
2011-02-13,5393750.0,1.05
2011-02-14,5403150.0,1.0753366666666668
2011-02-15,5413600.0,1.05
2011-02-16,5424750.0,1.028624
2011-02-17,5437100.0,1.04
2011-02-18,5447800.0,0.8989
2011-02-19,5456750.0,0.94898
2011-02-20,5465850.0,0.85
2011-02-21,5475400.0,0.8345
2011-02-22,5486100.0,0.87023
2011-02-23,5497950.0,0.9
2011-02-24,5509000.0,0.993715
2011-02-25,5520200.0,0.9111
2011-02-26,5532250.0,0.958
2011-02-27,5546450.0,0.89
2011-02-28,5554750.0,0.8701
2011-03-01,5561450.0,0.92022
2011-03-02,5569600.0,0.9399
2011-03-03,5578600.0,0.93909
2011-03-04,5588700.0,0.9012
2011-03-05,5600800.0,0.9103
2011-03-06,5614300.0,0.8866299999999999
2011-03-07,5627000.0,0.88502
2011-03-08,5637000.0,0.8699899999999999
2011-03-09,5645000.0,0.86449
2011-03-10,5651000.0,0.9329
2011-03-11,5657400.0,0.88
2011-03-12,5664300.0,0.918
2011-03-13,5670650.0,0.89249
2011-03-14,5676200.0,0.8949
2011-03-15,5681250.0,0.8711200000000001
2011-03-16,5688600.0,0.8599899999999999
2011-03-17,5694700.0,0.82542
2011-03-18,5701700.0,0.81648
2011-03-19,5707250.0,0.765
2011-03-20,5713850.0,0.7410800000000001
2011-03-21,5720950.0,0.75897
2011-03-22,5727550.0,0.80901
2011-03-23,5734750.0,0.8497100000000001
2011-03-24,5742850.0,0.8668799999999999
2011-03-25,5750200.0,0.8837700000000001
2011-03-26,5757750.0,0.8552
2011-03-27,5765250.0,0.8275399999999999
2011-03-28,5773150.0,0.79898
2011-03-29,5781150.0,0.7925
2011-03-30,5789100.0,0.7897
2011-03-31,5798700.0,0.78461
2011-04-01,5807900.0,0.7741100000000001
2011-04-02,5817250.0,0.78199
2011-04-03,5825550.0,0.779
2011-04-04,5834600.0,0.68
2011-04-05,5844500.0,0.71
2011-04-06,5851950.0,0.74
2011-04-07,5859650.0,0.7538
2011-04-08,5867550.0,0.7499899999999999
2011-04-09,5875650.0,0.746584
2011-04-10,5884100.0,0.7369
2011-04-11,5891650.0,0.77
2011-04-12,5900000.0,0.86
2011-04-13,5909850.0,0.93115
2011-04-14,5918150.0,0.99936
2011-04-15,5925050.0,0.9869040000000002
2011-04-16,5933350.0,1.0499
2011-04-17,5942150.0,1.13057
2011-04-18,5949900.0,1.16199
2011-04-19,5956900.0,1.1965
2011-04-20,5964500.0,1.1421
2011-04-21,5972400.0,1.208
2011-04-22,5980800.0,1.40901
2011-04-23,5989000.0,1.665325
2011-04-24,5997750.0,1.63011
2011-04-25,6006500.0,1.57623
2011-04-26,6016400.0,1.7949
2011-04-27,6026000.0,1.9
2011-04-28,6033650.0,2.2105900000000003
2011-04-29,6043700.0,2.88
2011-04-30,6053350.0,3.5
2011-05-01,6062650.0,3.03311
2011-05-02,6072350.0,3.2
2011-05-03,6082200.0,3.3975
2011-05-04,6091800.0,3.4060900000000003
2011-05-05,6102400.0,3.333
2011-05-06,6112850.0,3.452
2011-05-07,6123750.0,3.641
2011-05-08,6133650.0,3.86585
2011-05-09,6146150.0,3.8
2011-05-10,6156350.0,5.805
2011-05-11,6165550.0,5.5
2011-05-12,6174350.0,6.363463333333333
2011-05-13,6184350.0,8.193999999999999
2011-05-14,6196300.0,7.026584285714287
2011-05-15,6207800.0,6.988455
2011-05-16,6218800.0,8.0
2011-05-17,6231800.0,7.20995
2011-05-18,6245850.0,6.8849912500000015
2011-05-19,6255300.0,6.88955
2011-05-20,6266350.0,5.5903616666666665
2011-05-21,6277000.0,6.132744285714287
2011-05-22,6290050.0,6.736269999999999
2011-05-23,6303450.0,7.106383999999999
2011-05-24,6317900.0,7.42
2011-05-25,6332650.0,8.409413571428571
2011-05-26,6348900.0,8.77355
2011-05-27,6358950.0,8.5002
