Time,LTC total addresses,Price
2013-12-11,2548732,36.28897858
2013-12-12,2564746,31.23275566
2013-12-13,2579769,31.64802742
2013-12-14,2593683,31.44975662
2013-12-15,2608396,30.46009254
2013-12-16,2626213,31.39256859
2013-12-17,2647306,24.43333817
2013-12-18,2669163,21.85160446
2013-12-19,2687011,13.42808247
2013-12-20,2704578,19.85469246
2013-12-21,2718005,17.30760765
2013-12-22,2729213,16.60310936
2013-12-23,2742293,16.73653793
2013-12-24,2754884,17.81081581
2013-12-25,2769139,17.65055275
2013-12-26,2783774,21.64670181
2013-12-27,2798228,24.80660057
2013-12-28,2810364,23.19471169
2013-12-29,2822076,22.56226921
2013-12-30,2837166,23.89371109
2013-12-31,2849707,24.5051136
2014-01-01,2860666,24.34778214
2014-01-02,2873291,24.70367432
2014-01-03,2888947,25.66711426
2014-01-04,2902101,24.81335831
2014-01-05,2915118,25.03531837
2014-01-06,2934766,26.91143799
2014-01-07,2950714,29.24417877
2014-01-08,2965383,22.84491348
2014-01-09,2977838,24.48677635
2014-01-10,2989356,24.45240784
2014-01-11,3001990,24.9874897
2014-01-12,3012831,27.05463219
2014-01-13,3024394,25.13475227
2014-01-14,3035656,24.28329659
2014-01-15,3047474,24.10216141
2014-01-16,3058966,25.26671791
2014-01-17,3069456,24.4004879
2014-01-18,3080017,23.81292343
2014-01-19,3091057,24.56005478
2014-01-20,3104032,25.42716026
2014-01-21,3118511,25.20245743
2014-01-22,3132570,24.8455658
2014-01-23,3145043,23.64751625
2014-01-24,3161141,22.29607773
2014-01-25,3174844,20.70223999
2014-01-26,3189675,23.203022
2014-01-27,3205119,24.13188744
2014-01-28,3220480,20.12451935
2014-01-29,3234911,21.42344284
2014-01-30,3248998,21.91431046
2014-01-31,3261580,21.64747429
2014-02-01,3273777,22.09902954
2014-02-02,3287830,22.5049572
2014-02-03,3299791,22.37377167
2014-02-04,3314028,21.89580727
2014-02-05,3328898,21.52528
2014-02-06,3342850,20.85820961
2014-02-07,3355759,19.90085983
2014-02-08,3367526,18.53008842
2014-02-09,3378753,18.02235031
2014-02-10,3391659,18.29627991
2014-02-11,3404403,17.7591095
2014-02-12,3418697,17.40956879
2014-02-13,3431964,16.92671585
2014-02-14,3445629,15.36582565
2014-02-15,3457199,16.45173836
2014-02-16,3469012,16.0914669
2014-02-17,3481821,15.1361475
2014-02-18,3493274,15.47172737
2014-02-19,3503900,15.5575037
2014-02-20,3515278,15.70151424
2014-02-21,3526866,13.98104382
2014-02-22,3537603,13.91518021
2014-02-23,3550028,14.983325
2014-02-24,3561502,15.41858673
2014-02-25,3574162,14.49923897
2014-02-26,3585440,13.80181503
2014-02-27,3597158,14.25644875
2014-02-28,3607716,14.28622437
