Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,OL_MktCap,OL_BlkSz,OL_AvgComPwr,OL_AvgTransFee,OL_MinDif,OL_ActAdd,OL_NewAdd,OL_ChnTrans,BIC_HshRt,D_AvgPrc
2021-02-22,227.22381591796875,227.2348022460937,182.52764892578125,208.10679626464844,9523044215,13418503676.275,0.10105382,278.34946525,0.0001900182056766,10.42471651,224897.0,97173.0,101927.0,293033188865780.0,211.27326583862305
2021-02-23,208.1234130859375,208.3696746826172,159.68467712402344,176.93492126464844,10944696472,11864289414.3125,0.10219999,295.82019619,0.0001870497804878,10.42471651,244425.0,105841.0,103320.0,289112433871260.0,188.27817153930664
2021-02-24,176.96676635742188,189.1654663085937,169.78900146484375,181.3784942626953,7205360252,12280145083.05,0.10304111,287.04735065,0.0001730142897747,9.94936929,225197.0,96964.0,98511.0,284750607351910.0,179.32493209838867
2021-02-25,181.3854217529297,204.74383544921875,176.0321502685547,178.90184020996094,7327999233,13614854798.5125,0.11183358,267.81105881,0.0001542415620234,9.94936929,233888.0,95894.0,108193.0,265810702458920.0,185.26581192016602
2021-02-26,179.12852478027344,182.0758514404297,163.2482452392578,170.3981475830078,7875998386,11849179153.5,0.09662525,281.95989172,0.0001547247751118,9.94936929,240233.0,99317.0,107987.0,294411785481230.0,173.7126922607422
2021-02-27,170.43142700195312,179.92987060546875,167.90878295898438,172.10044860839844,4991079437,11570902061.4,0.09543809,294.09324129,0.0001487221936927,9.92162691,221927.0,103868.0,113489.0,295834160833381.0,172.59263229370117
2021-02-28,172.10218811035156,172.64617919921875,154.79978942871094,164.9271697998047,5945000101,10466292643.125,0.08314529,295.61720627,0.0001450317337784,9.92162691,214486.0,85750.0,97648.0,294245303856770.0,166.11883163452148
2021-03-01,164.98313903808594,176.35516357421875,163.9664306640625,175.23789978027344,4627257694,11750322742.8,0.10706514,298.29392177,0.0001765515917488,9.92162691,232631.0,90805.0,99865.0,297060134703910.0,170.13565826416016
2021-03-02,175.20968627929688,184.73049926757807,171.1996307373047,177.8724365234375,5247274825,12055764044.775,0.09270475,303.50025794,0.0001637270191778,10.318857,238927.0,94679.0,103505.0,303824867985690.0,177.2530632019043
2021-03-03,177.974365234375,196.25894165039065,177.3665008544922,188.52566528320312,6392122021,13008533408.8625,0.10762643,289.81508989,0.0001468264611072,10.318857,267400.0,95682.0,110252.0,285470879988280.0,185.03136825561523
2021-03-04,188.45831298828125,194.2318572998047,177.32473754882812,181.07864379882807,5488598135,12475182873.875,0.10245723,280.04280298,0.000165114006528,10.318857,230649.0,100843.0,106923.0,282808312881670.0,185.27338790893555
2021-03-05,181.0399627685547,183.10256958007807,169.32713317871094,180.7656097412109,4560793618,11857943497.525,0.10591182,278.18737184,0.0001702479043425,10.318857,228554.0,96762.0,98790.0,274192026858390.0,178.55881881713867
