Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,ES_AvgTransFee,ES_AvgGasPrc,ES_BlkCnt,ES_BlkSz,ES_BlkTm,ES_ActAdd,ES_DepCon,ES_GasLmt,ES_GasUsd,ES_VerCon,OL_MktCap,OL_NewAdd,OL_ChnTrans,OL_ChnVol,D_AvgPrc
2021-11-11,4635.45361328125,4778.05908203125,4580.990234375,4730.38427734375,17933201129,56.76,167059976680,6373,64004,13.37,615769,9948,29995693,98331547441,354,551597323049.0271,159607.0,1376315,3741006.215467481,4681.2218017578125
2021-11-12,4724.306640625,4808.73876953125,4510.92041015625,4667.115234375,18316060208,52.29,154765662719,6421,61834,13.31,612459,9391,29993307,98993755682,378,553191725335.2428,159106.0,1348704,2890972.4946461925,4677.770263671875
2021-11-13,4666.71923828125,4702.115234375,4582.1806640625,4651.46044921875,14457436261,47.07,136558244852,6326,64644,13.48,608683,9635,29969009,97438506061,292,545008815231.0772,157313.0,1315550,2885172.793665006,4650.618896484375
2021-11-14,4648.6328125,4689.8427734375,4516.935546875,4626.35888671875,12172962219,41.32,118460320428,6345,64874,13.48,602843,10626,29964680,97925457176,248,540549173130.5662,155472.0,1276923,1498128.0162772343,4620.4425048828125
2021-11-15,4627.0908203125,4764.63623046875,4546.59912109375,4557.50390625,16275851299,54.53,159570192767,6319,68318,13.51,562828,16312,29964880,97422476367,318,550229074727.3767,161427.0,1283963,4527724.9872164,4623.95751953125
2021-11-16,4570.47802734375,4891.70458984375,4144.3349609375,4216.365234375,27417502801,47.08,150734124893,6254,71564,13.61,567950,11399,29966302,96356492010,293,505645899859.5676,153532.0,1317678,3689316.337950028,4455.720703125
2021-11-17,4213.91064453125,4300.306640625,4107.1259765625,4287.59375,22183461850,42.79,137441876620,6390,70783,13.3,647957,14170,29963962,98477697827,288,491541190737.5853,146565.0,1338205,3455998.4649599623,4227.2342529296875
2021-11-18,4287.80224609375,4343.55712890625,3959.227783203125,4000.65087890625,21383250893,45.04,149599507821,6372,68397,13.39,551611,9354,29966360,98258045079,241,499167764690.1416,144719.0,1311059,3121852.6462510326,4147.809509277344
2021-11-19,3995.7294921875,4311.7138671875,3982.91748046875,4298.306640625,20626269711,41.56,127112478419,6232,70000,13.71,568416,10171,29964123,96064983806,289,477016226815.8041,139728.0,1253815,3608035.315881247,4147.1668701171875
2021-11-20,4298.3505859375,4434.38818359375,4209.24267578125,4409.93115234375,15448261277,39.73,109743832286,6295,67221,13.54,507869,18756,29966844,97067685699,202,503222657370.33,145136.0,1185991,2715227.0665091104,4337.9781494140625
2021-11-21,4412.1953125,4422.49169921875,4255.455078125,4269.73291015625,14094831413,36.08,112071573983,6287,72737,13.59,568594,9216,29968133,97039418838,200,511368164028.7057,130287.0,1233256,2340322.450380987,4339.96875
2021-11-22,4266.50927734375,4302.02294921875,4033.572265625,4088.457763671875,19752218877,50.0,151882787720,6367,73137,13.41,504707,11148,29965433,98175509324,233,492362459377.4727,139822.0,1224957,2526724.158609608,4172.640563964844
2021-11-23,4089.680419921875,4385.4833984375,4069.7666015625,4340.763671875,22133497059,46.99,140451271612,6339,72569,13.43,538772,13409,29967823,97654433985,249,482726694356.6583,144741.0,1240179,3049175.395132496,4221.423522949219
2021-11-24,4340.0361328125,4376.8759765625,4176.18359375,4239.9814453125,21838037128,41.56,136329342104,6304,72979,13.56,561877,11344,29966256,97186997792,292,501865827275.7479,154752.0,1333767,3550085.4899507826,4283.269287109375
2021-11-25,4271.39453125,4550.51806640625,4249.7744140625,4274.7431640625,18705358318,43.14,129483681201,6303,69643,13.53,554742,11813,29973030,97167359357,266,504473284476.15546,158909.0,1312364,2743635.61920384,4336.6075439453125
2021-11-26,4522.208984375,4550.84228515625,3933.506591796875,4030.908935546875,26281795488,35.46,120295788942,6218,71697,13.68,558797,13035,29973941,95847643629,272,509145866266.81726,154153.0,1311245,3996386.209393596,4259.36669921875
