Date,Open,High,Low,Close,Adj Close,Volume,BTC total supply,BTC market cap,BTC average daily block size,BTC average computing power of the entire network,BTC average daily transaction fee,BTC mining difficulty,BTC number of daily active addresses,Number of new addresses added per day on BTC,BTC total addresses,BTC number of daily transactions on the chain,BTC full node data size,BTC daily transaction volume on the chain
2019-04-17,5236.13525390625,5274.275390625,5219.20556640625,5251.93798828125,5251.93798828125,12438480677,17650512.5,92699400646.05264,1270826.1176470588,4.516977108503809e+19,0.0002325945057106655,6393023717201.863,780544.0,385560,501035094,338577,214289.832667,1055440.56274697
2019-04-18,5251.48046875,5319.986328125,5250.5068359375,5298.3857421875,5298.3857421875,13256489918,17652275.0,93528561411.46127,1225907.695035461,4.458182499938848e+19,0.00020198567055930831,6393023717201.863,732868.0,383620,501418714,371727,214462.685652,1176502.07351475
2019-04-19,5298.154296875,5336.68017578125,5233.3349609375,5303.8125,5303.8125,13780238655,17654175.0,93634436092.36684,1196317.3026315789,4.4461581913422455e+19,0.0002184872259071622,6393023717201.863,744931.0,368714,501787428,352335,214644.525882,908275.63158135
2019-04-20,5304.16064453125,5358.49072265625,5295.8779296875,5337.88623046875,5337.88623046875,13169647522,17655937.5,94245383934.00554,1193541.163120567,4.4749699261397e+19,0.0001678442862158746,6393023717201.863,706224.0,382755,502170183,370252,214812.815186,729588.80784477
2019-04-21,5335.87890625,5359.9248046875,5257.33935546875,5314.53125,5314.53125,13731844223,17657925.0,93843597810.7466,1236384.358490566,4.562660634745531e+19,0.00015228721448513668,6353030562983.983,797072.0,297923,502468106,365699,215009.400299,523724.66157493
2019-04-22,5312.49462890625,5422.6875,5280.27685546875,5399.365234375,5399.365234375,14601631648,17659662.5,95350970856.3635,1097669.3525179855,4.606022630363451e+19,0.0001675769114995981,6353030562983.983,580710.0,296274,502764380,348360,215161.976339,817031.38430595
2019-04-23,5399.36572265625,5633.80224609375,5389.40869140625,5572.3623046875,5572.3623046875,15867308108,17661212.5,98414670477.60498,1220854.2177419355,4.515489764307716e+19,0.0002682103879423084,6353030562983.983,703182.0,368706,503133086,321156,215313.362262,1215241.80547457
2019-04-24,5571.50830078125,5642.04443359375,5418.26318359375,5464.86669921875,5464.86669921875,17048033399,17662950.0,96525666251.13457,1257876.3884892086,4.52010715899406e+19,0.00034780212338314086,6353030562983.983,807265.0,409790,503542876,353695,215488.20708,1423873.1203553
2019-04-25,5466.5244140625,5542.23828125,5181.3388671875,5210.515625,5210.515625,15330283408,17664975.0,92043627080.13332,1211058.6543209876,4.585664198332923e+19,0.00027051932295784514,6353030562983.983,819513.0,425767,503968643,421185,215684.398582,1298568.19818863
2019-04-26,5210.3046875,5383.63427734375,5177.36865234375,5279.34814453125,5279.34814453125,16812108040,17666800.0,93269188982.3982,1253195.6301369865,4.555634347161778e+19,0.00024307917876699195,6353030562983.983,768982.0,385701,504354344,375472,215867.365144,1183445.37696034
