Time,BTC full node data size,Price
2010-11-17,44.157098,0.24736666666666665
2010-11-18,44.278163,0.2678
2010-11-19,45.524374,0.2752
2010-11-20,48.697969,0.283955
2010-11-21,51.205893,0.27675
2010-11-22,51.320084,0.2843
2010-11-23,51.419615,0.28295
2010-11-24,51.769165,0.28299
2010-11-25,53.949129,0.28
2010-11-26,54.437831,0.2844
2010-11-27,54.616343,0.28300000000000003
2010-11-28,54.75404,0.2710819672131145
2010-11-29,54.873656,0.23305
2010-11-30,55.010308,0.2082
2010-12-01,55.152147,0.2275
2010-12-02,55.301131,0.255
2010-12-03,55.424888,0.25105
2010-12-04,55.563515,0.206
2010-12-05,55.694993,0.195
2010-12-06,55.816172,0.204
2010-12-07,55.970292,0.2366
2010-12-08,56.128666,0.2388
2010-12-09,56.276195,0.192105
2010-12-10,56.397843,0.20385
2010-12-11,56.547817,0.228
2010-12-12,56.700914,0.22
2010-12-13,56.932762,0.2299
2010-12-14,57.154215,0.24669
2010-12-15,57.328512,0.24
2010-12-16,57.475763,0.24996
2010-12-17,57.62147,0.24
2010-12-18,57.779612,0.241
2010-12-19,57.967134,0.2401
2010-12-20,58.247228,0.267
2010-12-21,58.405184,0.24
2010-12-22,58.613669,0.25
2010-12-23,58.78733,0.24875250000000002
2010-12-24,58.949844,0.248
2010-12-25,59.09148,0.2499
2010-12-26,59.26122,0.265
2010-12-27,59.410152,0.265
2010-12-28,59.618313,0.281
2010-12-29,59.797477,0.2998
2010-12-30,59.968468,0.3
2010-12-31,60.138465,0.3
2011-01-01,60.314555,0.3
2011-01-02,60.501159,0.29997
2011-01-03,60.774475,0.295
2011-01-04,61.149433,0.29895
2011-01-05,61.448968,0.29892
2011-01-06,61.744773,0.298
2011-01-07,61.946977,0.32
2011-01-08,62.331553,0.3229
2011-01-09,62.648625,0.32299999999999995
2011-01-10,63.05336,0.32659
2011-01-11,63.42222,0.32659
2011-01-12,63.768323,0.3188
2011-01-13,64.125572,0.3176
2011-01-14,64.498239,0.4
2011-01-15,64.818467,0.386
2011-01-16,65.15339,0.38679
2011-01-17,65.384569,0.3495
2011-01-18,65.66471,0.31299
2011-01-19,65.942652,0.31299
2011-01-20,66.20397,0.39
2011-01-21,66.52391,0.419905
2011-01-22,67.026735,0.44399
2011-01-23,67.401291,0.4424
2011-01-24,67.861126,0.4199
2011-01-25,68.171311,0.41
2011-01-26,68.472503,0.41367
2011-01-27,68.780838,0.4212
2011-01-28,69.087478,0.446
2011-01-29,69.523647,0.439
2011-01-30,70.156164,0.47985
2011-01-31,71.05202,0.5501
2011-02-01,71.443812,0.70773
2011-02-02,71.836011,0.716
2011-02-03,72.0929,0.69639
2011-02-04,72.375891,0.8109999999999999
2011-02-05,72.666474,0.90735
2011-02-06,72.931656,0.8968
2011-02-07,73.220294,0.89
2011-02-08,73.496654,0.918
2011-02-09,73.798148,1.084495
2011-02-10,74.409538,0.9751549999999999
2011-02-11,75.132632,1.0700049999999999
2011-02-12,75.724361,1.0799
2011-02-13,76.27754,1.05
2011-02-14,76.961183,1.0753366666666668
2011-02-15,77.687389,1.05
2011-02-16,78.289614,1.028624
2011-02-17,78.972185,1.04
2011-02-18,79.595139,0.8989
2011-02-19,80.253965,0.94898
2011-02-20,80.726213,0.85
2011-02-21,81.308962,0.8345
2011-02-22,81.942062,0.87023
2011-02-23,82.676684,0.9
2011-02-24,83.297595,0.993715
2011-02-25,83.9479,0.9111
2011-02-26,84.587121,0.958
2011-02-27,85.255233,0.89
