Time,BTC number of daily transactions on the chain,Price
2011-02-11,2368,1.0700049999999999
2011-02-12,1893,1.0799
2011-02-13,1901,1.05
2011-02-14,1904,1.0753366666666668
2011-02-15,2318,1.05
2011-02-16,2092,1.028624
2011-02-17,2228,1.04
2011-02-18,2038,0.8989
2011-02-19,1890,0.94898
2011-02-20,1618,0.85
2011-02-21,2014,0.8345
2011-02-22,2158,0.87023
2011-02-23,2317,0.9
2011-02-24,1977,0.993715
2011-02-25,2215,0.9111
2011-02-26,1951,0.958
2011-02-27,2182,0.89
2011-02-28,2032,0.8701
2011-03-01,1694,0.92022
2011-03-02,2911,0.9399
2011-03-03,2897,0.93909
2011-03-04,2240,0.9012
2011-03-05,1873,0.9103
2011-03-06,1902,0.8866299999999999
2011-03-07,2130,0.88502
2011-03-08,2617,0.8699899999999999
2011-03-09,1745,0.86449
2011-03-10,1551,0.9329
2011-03-11,2064,0.88
2011-03-12,2829,0.918
2011-03-13,2523,0.89249
2011-03-14,2713,0.8949
2011-03-15,2725,0.8711200000000001
2011-03-16,3145,0.8599899999999999
2011-03-17,3125,0.82542
2011-03-18,2632,0.81648
2011-03-19,3202,0.765
2011-03-20,2953,0.7410800000000001
2011-03-21,7066,0.75897
2011-03-22,2455,0.80901
2011-03-23,3461,0.8497100000000001
2011-03-24,3159,0.8668799999999999
2011-03-25,2025,0.8837700000000001
2011-03-26,2392,0.8552
2011-03-27,2889,0.8275399999999999
2011-03-28,3316,0.79898
2011-03-29,3044,0.7925
2011-03-30,1600,0.7897
2011-03-31,2128,0.78461
2011-04-01,1725,0.7741100000000001
2011-04-02,1717,0.78199
2011-04-03,1623,0.779
2011-04-04,2323,0.68
2011-04-05,2272,0.71
2011-04-06,1785,0.74
2011-04-07,1877,0.7538
2011-04-08,1667,0.7499899999999999
2011-04-09,1775,0.746584
2011-04-10,1656,0.7369
2011-04-11,1870,0.77
2011-04-12,1991,0.86
2011-04-13,2423,0.93115
2011-04-14,3063,0.99936
2011-04-15,2033,0.9869040000000002
2011-04-16,1962,1.0499
2011-04-17,2213,1.13057
2011-04-18,2685,1.16199
2011-04-19,3554,1.1965
2011-04-20,3308,1.1421
2011-04-21,1855,1.208
2011-04-22,2167,1.40901
2011-04-23,2057,1.665325
2011-04-24,2643,1.63011
2011-04-25,2389,1.57623
2011-04-26,2813,1.7949
2011-04-27,4536,1.9
2011-04-28,3434,2.2105900000000003
2011-04-29,3605,2.88
2011-04-30,4013,3.5
2011-05-01,4595,3.03311
2011-05-02,2723,3.2
2011-05-03,3079,3.3975
2011-05-04,3079,3.4060900000000003
2011-05-05,3286,3.333
2011-05-06,3235,3.452
2011-05-07,3913,3.641
2011-05-08,2773,3.86585
2011-05-09,3465,3.8
2011-05-10,3182,5.805
2011-05-11,3272,5.5
2011-05-12,2735,6.363463333333333
2011-05-13,4297,8.193999999999999
2011-05-14,4321,7.026584285714287
2011-05-15,3976,6.988455
2011-05-16,4102,8.0
2011-05-17,4415,7.20995
2011-05-18,4948,6.8849912500000015
2011-05-19,5079,6.88955
2011-05-20,4738,5.5903616666666665
2011-05-21,4915,6.132744285714287
2011-05-22,5394,6.736269999999999
2011-05-23,5703,7.106383999999999
2011-05-24,5521,7.42
2011-05-25,6187,8.409413571428571
2011-05-26,6781,8.77355
2011-05-27,5730,8.5002
2011-05-28,4831,8.3001
2011-05-29,4792,8.4299
2011-05-30,4982,8.800025000000002
2011-05-31,5874,8.715455
2011-06-01,6155,9.607497500000001
2011-06-02,7079,10.643019999999998
2011-06-03,8115,14.317785714285714
2011-06-04,8830,18.64759333333334
2011-06-05,8319,16.675
2011-06-06,9609,18.37141428571429
2011-06-07,8761,23.396988372093016
2011-06-08,10635,29.64085384615385
2011-06-09,12502,28.9407
2011-06-10,11689,23.86174117647059
2011-06-11,10886,14.651199999999998
2011-06-12,11283,18.71959
2011-06-13,12869,19.409272222222214
2011-06-14,12135,19.32056428571429
2011-06-15,13936,19.49
2011-06-16,12061,17.363817999999995
2011-06-17,11833,15.834064285714286
2011-06-18,11858,16.876666666666665
2011-06-19,11473,17.405467272497287
2011-06-20,11429,17.4795582704942
2011-06-21,9553,17.850482972780885
2011-06-22,11400,17.906287114865226
2011-06-23,10420,18.16839759701135
2011-06-24,11587,18.585396059959713
2011-06-25,9096,17.943275642315022
2011-06-26,10245,16.366438571428574
2011-06-27,11516,16.750066666666665
2011-06-28,10833,16.943002500000002
2011-06-29,10341,16.899833333333333
2011-06-30,9659,16.153598125000002
2011-07-01,9524,15.363328181818185
2011-07-02,9784,15.4
2011-07-03,8005,15.440396666666668
2011-07-04,9160,13.820056
2011-07-05,8848,12.886805625
2011-07-06,10861,14.767071111111115
2011-07-07,9131,14.770078461538462
2011-07-08,8674,14.313770000000002
2011-07-09,8339,14.3775
2011-07-10,7892,14.74739
2011-07-11,9938,14.210998421052633
2011-07-12,9040,14.01648166666667
2011-07-13,9190,13.954294285714285
2011-07-14,8593,13.997809
2011-07-15,8639,13.81
2011-07-16,7875,13.719048571428573
2011-07-17,8951,13.167918750000005
2011-07-18,8298,13.423071481481482
2011-07-19,9778,13.84199375
2011-07-20,8640,13.693134848484846
2011-07-21,8415,13.612104
2011-07-22,8629,13.69542
2011-07-23,8100,13.68
2011-07-24,7816,13.98001
2011-07-25,9498,14.0026
2011-07-26,8399,13.88117
2011-07-27,8488,13.9076
2011-07-28,7577,13.481906666666667
2011-07-29,7690,13.514396363636365
2011-07-30,7019,13.53281315789474
2011-07-31,7266,13.379893333333333
2011-08-01,8095,13.095602000000005
2011-08-02,8658,12.060019
2011-08-03,8002,9.26005
2011-08-04,8098,10.743663333333332
2011-08-05,7592,9.7726675
2011-08-06,7288,6.511275454545455
2011-08-07,6661,8.166288292682923
2011-08-08,6863,7.8298549999999985
2011-08-09,8482,9.74886068965517
2011-08-10,8729,10.01468625
2011-08-11,8032,9.45624
2011-08-12,7144,9.460339999999999
2011-08-13,7373,10.123339655172405
2011-08-14,7429,10.744264615384619
2011-08-15,8485,11.138136
2011-08-16,9294,10.958955
2011-08-17,8066,10.993066666666667
2011-08-18,7547,10.847017692307693
2011-08-19,7604,11.65
2011-08-20,7122,11.450997999999998
2011-08-21,7438,11.323212000000002
2011-08-22,7889,10.940764736842107
2011-08-23,7463,10.927407
2011-08-24,7604,10.8506
2011-08-25,7017,9.684139710144926
2011-08-26,7234,8.179189444444445
2011-08-27,7093,8.5902
2011-08-28,5425,9.078464285714286
2011-08-29,7795,8.96809375
2011-08-30,7794,8.795466000000001
2011-08-31,7341,8.22353625
2011-09-01,7133,8.228883750000001
2011-09-02,6984,8.62278
2011-09-03,6329,8.479
2011-09-04,6768,8.17871357142857
2011-09-05,7074,7.629207142857145
2011-09-06,7708,6.864676666666665
2011-09-07,7352,7.186077777777778
2011-09-08,6329,6.5331220000000005
2011-09-09,7259,5.05558
2011-09-10,6505,4.764342000000001
2011-09-11,6215,5.914224166666667
2011-09-12,6636,6.061434285714286
2011-09-13,6540,5.8
2011-09-14,6557,5.619543333333333
2011-09-15,6017,4.805915714285715
2011-09-16,6102,4.811
2011-09-17,6174,4.7647
2011-09-18,5601,5.2382333333333335
2011-09-19,6212,5.462770769230769
2011-09-20,7141,6.114797272727272
2011-09-21,8219,5.660935625
2011-09-22,7070,5.473564
2011-09-23,5840,5.557576363636364
2011-09-24,6373,5.4715266666666675
2011-09-25,5680,5.331829999999999
2011-09-26,5581,4.86916
2011-09-27,6243,4.709366666666667
2011-09-28,5726,4.7093475
2011-09-29,5842,4.7846224999999984
2011-09-30,5702,5.149056666666667
2011-10-01,5660,5.0181025
2011-10-02,5122,5.02701
2011-10-03,5797,5.02401
2011-10-04,5849,4.96
2011-10-05,6072,4.879936666666667
2011-10-06,5899,4.734425
2011-10-07,5735,4.2728
2011-10-08,5299,4.00587
2011-10-09,5560,4.10288
2011-10-10,5840,4.086946666666667
2011-10-11,5679,3.9591533333333335
2011-10-12,6703,4.15
2011-10-13,4562,4.04615
2011-10-14,5798,3.98794
2011-10-15,6203,3.848035
2011-10-16,4738,3.5723744444444443
2011-10-17,5682,2.5544640000000003
2011-10-18,5611,2.409323333333333
2011-10-19,5018,2.2622557142857147
2011-10-20,4684,2.348005
2011-10-21,5188,2.562545
2011-10-22,4772,3.138733333333333
2011-10-23,5646,3.16469030083056
2011-10-24,5682,2.538475833333333
2011-10-25,5225,2.773611666666667
2011-10-26,5383,2.7730099999999998
2011-10-27,4953,3.0401142105263164
2011-10-28,5070,3.185198
2011-10-29,5728,3.56826
2011-10-30,4756,3.2624975
2011-10-31,4977,3.243748333333333
2011-11-01,5771,3.1637619999999997
2011-11-02,5865,3.253693333333333
2011-11-03,5833,3.1555
2011-11-04,6504,3.05545
2011-11-05,6670,2.972505
2011-11-06,5089,2.959772
2011-11-07,5177,3.0061166666666668
2011-11-08,5851,3.0456833333333333
2011-11-09,6787,2.9482128571428565
2011-11-10,6293,2.8477188461538465
2011-11-11,5490,3.0735269230769235
2011-11-12,5336,3.03099
2011-11-13,4948,2.99599
2011-11-14,5718,2.1422394871794865
2011-11-15,6280,2.324486197288458
2011-11-16,5899,2.567874444444445
2011-11-17,5671,2.25
2011-11-18,4782,2.0510271428571434
2011-11-19,5079,2.1994325
2011-11-20,4650,2.1998700000000007
2011-11-21,5117,2.28936
2011-11-22,5284,2.326955
2011-11-23,5664,2.332055
2011-11-24,5018,2.427627826086956
2011-11-25,5380,2.493312857142857
2011-11-26,4989,2.47003
2011-11-27,4809,2.4769754545454545
