Time,BTC average daily block size,Price
2009-12-17,224.1055900621118,null
2009-12-18,216.5699481865285,null
2009-12-19,216.49775784753362,null
2009-12-20,215.94505494505495,null
2009-12-21,216.57219251336898,null
2009-12-22,215.7843137254902,null
2009-12-23,215.64161849710982,null
2009-12-24,215.66901408450704,null
2009-12-25,217.159509202454,null
2009-12-26,215.73648648648648,null
2009-12-27,219.70833333333334,null
2009-12-28,215.86111111111111,null
2009-12-29,215.62790697674419,null
2009-12-30,215.71428571428572,null
2009-12-31,215.64285714285714,null
2010-01-01,215.60629921259843,null
2010-01-02,218.13492063492063,null
2010-01-03,215.6602564102564,null
2010-01-04,261.94472361809045,null
2010-01-05,217.97058823529412,null
2010-01-06,215.7391304347826,null
2010-01-07,215.61184210526315,null
2010-01-08,215.68987341772151,null
2010-01-09,215.80536912751677,null
2010-01-10,215.81714285714287,null
2010-01-11,215.73170731707316,null
2010-01-12,215.58823529411765,null
2010-01-13,378.7142857142857,null
2010-01-14,219.45637583892616,null
2010-01-15,221.8791946308725,null
2010-01-16,220.07971014492753,null
2010-01-17,222.6271186440678,null
2010-01-18,215.54961832061068,null
2010-01-19,217.21487603305786,null
2010-01-20,215.5182481751825,null
2010-01-21,235.25862068965517,null
2010-01-22,219.0700636942675,null
2010-01-23,217.24647887323943,null
2010-01-24,219.68666666666667,null
2010-01-25,252.7192118226601,null
2010-01-26,219.17085427135677,null
2010-01-27,229.8586956521739,null
2010-01-28,228.3095238095238,null
2010-01-29,234.28125,null
2010-01-30,226.32432432432432,null
2010-01-31,233.54187192118226,null
2010-02-01,243.04651162790697,null
2010-02-02,218.28082191780823,null
2010-02-03,225.78481012658227,null
2010-02-04,224.0796460176991,null
2010-02-05,344.2988047808765,null
2010-02-06,226.2116402116402,null
2010-02-07,226.2549019607843,null
2010-02-08,289.68918918918916,null
2010-02-09,218.24519230769232,null
2010-02-10,911.172619047619,null
2010-02-11,226.76,null
2010-02-12,271.6795580110497,null
2010-02-13,238.78125,null
2010-02-14,289.44174757281553,null
2010-02-15,230.72677595628414,null
2010-02-16,273.2388888888889,null
2010-02-17,227.2117117117117,null
2010-02-18,244.56846473029046,null
2010-02-19,235.9764705882353,null
2010-02-20,220.29741379310346,null
