Time,LTC average daily block size,Price
2013-11-16,0.00477789,4.19366407
2013-11-17,0.00665358,4.33022738
2013-11-18,0.01137980,4.12657976
2013-11-19,0.02141595,9.42268753
2013-11-20,0.00861644,7.96456432
2013-11-21,0.00672507,8.0114336
2013-11-22,0.00720163,9.36222553
2013-11-23,0.00922230,10.11698723
2013-11-24,0.00617379,10.58983517
2013-11-25,0.00642801,10.31981659
2013-11-26,0.01606125,12.3760128
2013-11-27,0.02047185,19.90896797
2013-11-28,0.02078556,38.99134827
2013-11-29,0.01400868,44.36878586
2013-11-30,0.01244793,36.94169235
2013-12-01,0.01030261,40.57338333
2013-12-02,0.00963296,34.46994781
2013-12-03,0.00876836,33.34876633
2013-12-04,0.01030028,39.32089233
2013-12-05,0.01098260,44.52996063
2013-12-06,0.00667697,37.46313858
2013-12-07,0.00924145,29.73739243
2013-12-08,0.00673471,23.17858505
2013-12-09,0.00788400,27.21146393
2013-12-10,0.01002953,31.49889565
2013-12-11,0.01017096,36.28897858
2013-12-12,0.00815848,31.23275566
2013-12-13,0.00933914,31.64802742
2013-12-14,0.00910196,31.44975662
2013-12-15,0.00843755,30.46009254
2013-12-16,0.01049397,31.39256859
2013-12-17,0.01498248,24.43333817
2013-12-18,0.01157973,21.85160446
2013-12-19,0.01049563,13.42808247
2013-12-20,0.01047415,19.85469246
2013-12-21,0.00830917,17.30760765
2013-12-22,0.00719075,16.60310936
2013-12-23,0.00879515,16.73653793
2013-12-24,0.00796013,17.81081581
2013-12-25,0.00945566,17.65055275
2013-12-26,0.01167075,21.64670181
2013-12-27,0.00969591,24.80660057
2013-12-28,0.00695071,23.19471169
2013-12-29,0.00702441,22.56226921
2013-12-30,0.01019811,23.89371109
2013-12-31,0.00815553,24.5051136
2014-01-01,0.00735270,24.34778214
2014-01-02,0.00888819,24.70367432
2014-01-03,0.01116514,25.66711426
2014-01-04,0.00861858,24.81335831
2014-01-05,0.00883584,25.03531837
2014-01-06,0.01508957,26.91143799
