Time,LTC number of daily transactions on the chain,Price
2013-11-21,8305,8.0114336
2013-11-22,8404,9.36222553
2013-11-23,9344,10.11698723
2013-11-24,8679,10.58983517
2013-11-25,8242,10.31981659
2013-11-26,12865,12.3760128
2013-11-27,17008,19.90896797
2013-11-28,20757,38.99134827
2013-11-29,15983,44.36878586
2013-11-30,15231,36.94169235
2013-12-01,13506,40.57338333
2013-12-02,14906,34.46994781
2013-12-03,13320,33.34876633
2013-12-04,14254,39.32089233
2013-12-05,14836,44.52996063
2013-12-06,11629,37.46313858
2013-12-07,12799,29.73739243
2013-12-08,11374,23.17858505
2013-12-09,13741,27.21146393
2013-12-10,13367,31.49889565
2013-12-11,14672,36.28897858
2013-12-12,12510,31.23275566
2013-12-13,12086,31.64802742
2013-12-14,10990,31.44975662
2013-12-15,11697,30.46009254
2013-12-16,13874,31.39256859
2013-12-17,16679,24.43333817
2013-12-18,16741,21.85160446
2013-12-19,13905,13.42808247
2013-12-20,13928,19.85469246
2013-12-21,10908,17.30760765
2013-12-22,9135,16.60310936
2013-12-23,10328,16.73653793
2013-12-24,10441,17.81081581
2013-12-25,11556,17.65055275
2013-12-26,12571,21.64670181
2013-12-27,12444,24.80660057
2013-12-28,10306,23.19471169
2013-12-29,9971,22.56226921
2013-12-30,11961,23.89371109
2013-12-31,10607,24.5051136
2014-01-01,9508,24.34778214
2014-01-02,10882,24.70367432
2014-01-03,13411,25.66711426
2014-01-04,10881,24.81335831
2014-01-05,11270,25.03531837
2014-01-06,17040,26.91143799
2014-01-07,13551,29.24417877
2014-01-08,12953,22.84491348
2014-01-09,11014,24.48677635
2014-01-10,10261,24.45240784
2014-01-11,11581,24.9874897
2014-01-12,9949,27.05463219
2014-01-13,10457,25.13475227
2014-01-14,10145,24.28329659
2014-01-15,10653,24.10216141
2014-01-16,10532,25.26671791
2014-01-17,9585,24.4004879
2014-01-18,9882,23.81292343
2014-01-19,10135,24.56005478
2014-01-20,11825,25.42716026
2014-01-21,12608,25.20245743
2014-01-22,12198,24.8455658
2014-01-23,11101,23.64751625
2014-01-24,14222,22.29607773
2014-01-25,12057,20.70223999
2014-01-26,13010,23.203022
2014-01-27,13207,24.13188744
2014-01-28,13846,20.12451935
2014-01-29,13388,21.42344284
2014-01-30,13144,21.91431046
2014-01-31,11587,21.64747429
2014-02-01,11415,22.09902954
2014-02-02,11408,22.5049572
2014-02-03,10962,22.37377167
2014-02-04,12644,21.89580727
2014-02-05,13891,21.52528
2014-02-06,13098,20.85820961
2014-02-07,12224,19.90085983
2014-02-08,11079,18.53008842
2014-02-09,10479,18.02235031
2014-02-10,12305,18.29627991
2014-02-11,11879,17.7591095
2014-02-12,12894,17.40956879
2014-02-13,11816,16.92671585
2014-02-14,12494,15.36582565
2014-02-15,11091,16.45173836
2014-02-16,11354,16.0914669
2014-02-17,12328,15.1361475
2014-02-18,10809,15.47172737
2014-02-19,10153,15.5575037
2014-02-20,10934,15.70151424
2014-02-21,11272,13.98104382
2014-02-22,10383,13.91518021
2014-02-23,12212,14.983325
2014-02-24,11130,15.41858673
2014-02-25,12179,14.49923897
2014-02-26,10712,13.80181503
2014-02-27,10742,14.25644875
2014-02-28,10056,14.28622437
2014-03-01,10015,13.22712803
2014-03-02,10185,13.65520573
2014-03-03,11864,12.77824688
2014-03-04,16831,14.28829479
2014-03-05,13713,16.99282265
2014-03-06,11830,16.37731361
2014-03-07,11337,16.48243523
2014-03-08,10827,15.85789776
2014-03-09,10671,15.40605164
2014-03-10,9890,15.98194408
2014-03-11,9566,16.00627327
2014-03-12,12482,16.10233498
2014-03-13,11232,17.16038132
2014-03-14,10380,16.9979496
2014-03-15,12259,16.6016674
2014-03-16,11710,16.89461327
2014-03-17,11729,17.34573174
2014-03-18,17794,17.29459
2014-03-19,22594,19.45343399
2014-03-20,12990,17.16661072
2014-03-21,13179,16.40228844
2014-03-22,10173,15.63930225
2014-03-23,9681,15.71037388
2014-03-24,10655,15.29675198
2014-03-25,10629,16.22605133
2014-03-26,11551,16.29013062
2014-03-27,11713,16.28004646
2014-03-28,11499,12.66046524
2014-03-29,9177,13.9084549
2014-03-30,8916,13.44649887
2014-03-31,10984,13.14605522
2014-04-01,10167,12.77492714
2014-04-02,10522,13.09333038
2014-04-03,11841,11.26337433
2014-04-04,9415,11.06604385
2014-04-05,8690,11.00299263
2014-04-06,8000,11.17957497
2014-04-07,9500,11.6559267
2014-04-08,8179,11.21057606
2014-04-09,8524,11.37990284
2014-04-10,9351,11.18763638
2014-04-11,10781,8.42459393
2014-04-12,8563,10.90500164
2014-04-13,8784,10.6648283
2014-04-14,9783,10.38670635
2014-04-15,11088,11.46351147
2014-04-16,11386,13.30229473
2014-04-17,9264,13.422472
2014-04-18,8913,12.46046829
2014-04-19,8204,12.04557514
2014-04-20,8692,12.8550024
2014-04-21,8282,12.56046772
2014-04-22,8334,12.49682999
2014-04-23,7968,12.03858757
2014-04-24,7551,12.13743019
2014-04-25,8996,12.53533649
2014-04-26,7373,10.80757427
2014-04-27,7508,10.56065464
2014-04-28,7971,9.7909956
2014-04-29,6878,10.1224966
2014-04-30,7952,10.40315914
2014-05-01,6477,10.92730045
2014-05-02,6216,11.13124943
2014-05-03,6125,10.51679802
2014-05-04,5923,10.30080795
2014-05-05,6166,10.31131363
2014-05-06,6694,10.20509052
2014-05-07,6217,10.34142017
2014-05-08,8418,10.50908184
2014-05-09,6790,10.42281914
2014-05-10,6013,10.7617569
2014-05-11,7772,10.71716881
2014-05-12,8051,10.33806038
2014-05-13,6691,10.41868496
2014-05-14,5824,10.40582371
2014-05-15,6535,10.43307686
2014-05-16,6115,10.48279476
2014-05-17,5083,10.44066143
2014-05-18,4809,10.34725761
2014-05-19,8768,10.34333801
2014-05-20,7533,10.30385303
2014-05-21,8755,10.60335159
2014-05-22,9860,10.57919121
2014-05-23,8290,10.64639473
2014-05-24,6454,11.20851517
2014-05-25,6702,11.12306404
2014-05-26,7269,11.57830811
2014-05-27,6796,11.54675961
2014-05-28,7923,11.16233635
2014-05-29,6384,11.01273251
2014-05-30,7171,10.7815752
2014-05-31,6044,11.25792408
2014-06-01,6419,10.92648506
2014-06-02,7854,11.14717388
2014-06-03,7079,11.35939598
2014-06-04,7348,11.47022247
2014-06-05,6759,11.0392952
2014-06-06,5938,11.29538441
2014-06-07,5051,11.19596767
2014-06-08,4766,11.10968208
2014-06-09,5304,11.26592731
2014-06-10,5647,11.21110153
2014-06-11,4778,11.10305595
2014-06-12,5122,10.93151665
2014-06-13,5074,10.16253757
2014-06-14,5024,10.25964069
2014-06-15,4848,9.87468529
2014-06-16,5575,9.96162224
2014-06-17,4985,9.68344879
2014-06-18,5490,9.67410469
2014-06-19,6152,9.67678356
2014-06-20,6078,9.99636745
2014-06-21,4435,9.84114361
2014-06-22,4228,9.84951878
2014-06-23,4754,9.76990128
2014-06-24,4859,9.72811222
2014-06-25,4975,9.61211014
2014-06-26,4628,9.20060062
2014-06-27,4996,9.09437656
2014-06-28,4354,9.24751759
2014-06-29,4334,9.19578648
2014-06-30,5535,8.97191238
2014-07-01,5485,8.96225739
2014-07-02,6323,7.98479033
2014-07-03,5096,8.06755924
2014-07-04,4625,8.03005886
2014-07-05,5373,7.32218647
2014-07-06,5108,7.30489874
2014-07-07,5487,7.09888697
2014-07-08,5288,7.73099422
2014-07-09,4857,7.79258966
2014-07-10,4792,7.79260349
2014-07-11,5251,7.85397196
2014-07-12,4913,8.61945248
2014-07-13,6014,8.89791203
2014-07-14,5909,8.619771
2014-07-15,5440,8.55823517
2014-07-16,5937,8.3152914
2014-07-17,6823,8.65816498
2014-07-18,7569,8.72484589
2014-07-19,7151,8.60983753
2014-07-20,8473,8.46209431
2014-07-21,5797,8.58654976
2014-07-22,7659,8.56691742
2014-07-23,4741,8.4591856
2014-07-24,8887,7.79307318
2014-07-25,8880,7.55479765
2014-07-26,6577,7.60348272
2014-07-27,5808,7.75354004
2014-07-28,5293,7.58822632
2014-07-29,6037,7.65241003
2014-07-30,5894,7.26385307
2014-07-31,6030,7.53752708
2014-08-01,5772,7.70185423
2014-08-02,5004,7.62533188
2014-08-03,4504,7.53763628
2014-08-04,4869,7.41390467
2014-08-05,8905,7.26678991
2014-08-06,9160,7.18435431
2014-08-07,8346,7.17608356
2014-08-08,7295,7.06227779
2014-08-09,4495,6.94440746
2014-08-10,4484,6.94621944
2014-08-11,5237,6.05787086
2014-08-12,7600,5.65151834
2014-08-13,7077,5.042449
2014-08-14,6231,5.04379559
2014-08-15,4870,5.04859066
2014-08-16,4829,4.97831726
2014-08-17,4955,4.3320322
2014-08-18,6512,3.71356797
2014-08-19,5919,4.67193604
2014-08-20,6416,5.44995928
2014-08-21,5410,5.79547691
